MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 10; 0; 0; 1; 1; 1; 0; 1; 0
68; 19; 0; 0; 1; 1; 1; 0; 1; 0
74; 13; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 1; 1; 1; 0; 1; 0
92; 10; 0; 0; 1; 1; 1; 0; 1; 0
108; 18; 0; 0; 1; 1; 1; 0; 1; 0
113; 10; 0; 0; 1; 1; 1; 0; 1; 0
158; 21; 0; 0; 1; 1; 1; 0; 1; 0
164; 2; 0; 1; 1; 0; 0; 0; 0,332790223572103; 0,667209776427897
172; 20; 0; 0; 1; 1; 1; 0; 1; 0
176; 13; 0; 0; 1; 1; 1; 0; 1; 0
191; 10; 0; 0; 1; 1; 1; 0; 1; 0
207; 18; 0; 0; 1; 1; 1; 0; 1; 0
230; 10; 0; 0; 1; 1; 1; 0; 1; 0
231; 10; 0; 0; 1; 1; 1; 0; 1; 0
235; 10; 0; 0; 1; 1; 1; 0; 1; 0
244; 190; 0; 0; 1; 1; 1; 0; 1; 0
257; 16; 0; 0; 1; 1; 1; 0; 1; 0
281; 2; 0; 1; 1; 0; 0; 0; 0,499619597261387; 0,500380402738613
302; 10; 0; 0; 1; 1; 1; 0; 1; 0
321; 10; 0; 0; 1; 1; 1; 0; 1; 0
329; 10; 0; 0; 1; 1; 1; 0; 1; 0
333; 19; 0; 0; 1; 1; 1; 0; 1; 0
340; 19; 0; 0; 1; 1; 1; 0; 1; 0
358; 19; 0; 0; 1; 1; 1; 0; 1; 0
363; 20; 0; 0; 1; 1; 1; 0; 1; 0
368; 10; 0; 0; 1; 1; 1; 0; 1; 0
372; 18; 0; 0; 1; 1; 1; 0; 1; 0
377; 19; 0; 0; 1; 1; 1; 0; 1; 0
386; 10; 0; 0; 1; 1; 1; 0; 1; 0
400; 2; 0; 0; 1; 1; 1; 0; 1; 0
402; 160; 0; 0; 1; 1; 1; 0; 1; 0
412; 16; 0; 0; 1; 1; 1; 0; 1; 0
428; 16; 0; 0; 1; 1; 1; 0; 1; 0
434; 18; 0; 0; 1; 1; 1; 0; 1; 0
454; 13; 0; 0; 1; 1; 1; 0; 1; 0
463; 19; 0; 0; 1; 1; 1; 0; 1; 0
468; 16; 0; 0; 1; 1; 1; 0; 1; 0
473; 2; 0; 0; 1; 1; 1; 0; 1; 0
