
Scenario Summaries

Total of vehicles entered: 5702
Total of vehicles detected: 5702

SECTIONS
Total inferences: 2567
FPR:  2242
FPR2: 2263
ER:   2528,77279372674
CR:   653,115507904553
FPR RATIO:   0,873393065835606
FPR2 RATIO:   0,881573821581613

TRIPS
Total inferences: 2245
FPR:  2004
FPR2: 2053
ER:   2206,77279372674
CR:   500,078301869142
FPR RATIO:   0,892650334075724
FPR2 RATIO:   0,914476614699332

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	392	235	173	169	51	52	100	96	22	21
1	509	539	247	194	122	126	29	28	70	74	23	24
2	519	534	538	423,46798245614	278	274,46798245614	70	70	165	156,79298245614	43	47,675
3	519	906	295	172,567251461989	137	139,567251461989	40	41	75	76,3149122807018	22	22,2523391812866
4	529	519	130	105,035233918129	69	72,0352339181286	20	20	33	33,1078947368421	16	18,9273391812866
5	529	539	87	42,8358851674641	56	32,8358851674641	9	8,60606060606061	35	15,4631578947368	12	8,76666666666667
6	534	529	456	314,914274322169	197	177,914274322169	38	35,1818181818182	119	105,54649122807	40	37,1859649122807
7	534	922	197	166,771929824562	121	123,771929824561	32	30	65	64,5885964912281	24	29,1833333333333
8	534	1054	366	309,252830940989	242	253,252830940989	71	63,8181818181818	139	150,40701754386	32	39,0276315789474
9	539	544	377	307,420015948964	169	174,420015948963	40	40,0454545454545	98	101,457894736842	31	32,9166666666667
10	539	1124	340	225,415869218501	163	138,415869218501	43	42,5606060606061	86	65,0052631578947	34	30,85
11	544	529	370	264,956844763424	157	155,956844763424	45	47,4242424242424	80	73,0245614035088	32	35,5080409356725
12	544	922	298	280,367384370016	182	210,367384370016	37	43,3787878787879	97	109,284210526316	48	57,7043859649122
13	544	1054	172	156,458612440191	91	93,4586124401914	15	15,0454545454545	58	57,9578947368421	18	20,4552631578947
14	906	939	388	251,614314194577	185	188,614314194577	56	57,0454545454545	93	93,2754385964912	36	38,2934210526316
15	906	976	352	229,000000000001	111	147,000000000001	26	33	65	81	20	33
16	913	943	126	77,3651515151515	96	65,3651515151514	26	19,1818181818182	42	26,7666666666667	28	19,4166666666667
17	913	922	7	10,1955608718767	4	9,19556087187666	0	3,51515151515151	2	4,16929824561404	2	1,51111111111111
18	913	1054	125	104,883399787347	90	87,8833997873471	22	25,7727272727273	51	43,2719298245614	17	18,8387426900585
19	913	1100	351	306,572993088782	235	245,572993088783	76	78,3636363636364	115	119,994736842105	44	47,2146198830409
20	922	913	511	403,761549707602	336	306,761549707603	96	88	162	150,254385964912	78	68,50716374269
21	922	906	183	194,09706273259	115	151,09706273259	34	41,0454545454545	56	72,7105263157895	25	37,3410818713451
