
Scenario Summaries

Total of vehicles entered: 5925
Total of vehicles detected: 5925

SECTIONS
Total inferences: 4767
FPR:  4380
FPR2: 4382
ER:   4573,62181318836
CR:   1354,18568426259
FPR RATIO:   0,91881686595343
FPR2 RATIO:   0,919236417033774

TRIPS
Total inferences: 3381
FPR:  2981
FPR2: 3045
ER:   3188,6308971319
CR:   659,399938597562
FPR RATIO:   0,881691807157646
FPR2 RATIO:   0,900621118012422

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	514	411	274,295292700574	213	206,295292700575	65	64,7886250278573	121	116,489017019776	27	25,0176506529423
1	509	524	247	190,704707299425	149	155,704707299425	32	36,2113749721427	80	80,5109829802242	37	38,9823493470577
2	514	519	535	446,995761613277	367	384,995761613277	105	112,764746595023	205	207,372898542247	57	64,8581164760082
3	519	534	499	438,851107885554	359	380,851107885554	90	96,3600762644126	214	218,649649746449	55	65,8413818746935
4	519	924	364	245,144653727722	189	185,144653727723	55	56,4046703306099	103	100,723248795798	31	28,0167346013146
5	524	539	325	295,020612040739	252	269,020612040739	58	69,0946103765696	130	129,537103955161	64	70,3888977090102
6	529	514	312	282,700468912702	204	228,700468912702	54	63,9761215671653	96	103,883881522471	54	60,8404658230659
7	529	524	320	265,315904741315	189	199,315904741315	58	64,8832354044269	96	92,0261209749363	35	42,4065483619525
8	534	529	419	381,736528174953	269	311,736528174953	69	93,6262490219277	146	147,5680643092	54	70,5422148438256
9	534	549	556	527,260871989057	471	500,260871989057	133	136,801163704243	263	271,248363474361	75	92,2113448104536
10	539	544	351	321,727921486579	254	276,727921486579	52	66,5672989567264	147	153,553222007322	55	56,6074005225312
11	539	1124	312	247,29269055416	198	192,29269055416	61	58,5273114198432	89	82,9838819478378	48	50,781497186479
12	544	529	362	315,279845479064	268	260,279845479064	78	72,2331079496645	139	137,341938188207	51	50,7047993411928
13	544	549	490	494,500669944603	400	455,500669944603	69	99,8413287608523	230	236,33055256475	101	119,328788619002
14	549	922	518	518,833581644447	423	478,833581644447	94	117,292130877877	234	243,994194803892	95	117,54725596268
15	549	1054	547	521,927960289214	463	491,927960289214	117	128,350361587219	268	272,584721235219	78	90,9928774667761
16	906	939	349	273,256867819168	241	242,256867819169	72	72,7813318084994	125	126,479317957954	44	42,9962180527162
17	906	976	230	132,813836793648	88	87,8138367936475	25	26,8136434383169	47	42,6582572285061	16	18,3419361268243
18	913	919	290	241,021417198898	171	198,021417198899	49	58,1013010327273	83	89,029496012264	39	50,8906201539073
19	913	1093	533	510,219982619174	462	486,219982619174	122	136,130054925039	236	240,22480658145	104	109,865121112686
20	919	943	328	306,036104923774	247	283,036104923774	77	91,2219009307246	114	125,404652654334	56	66,4095513387161
21	922	913	511	491,332788777517	410	456,332788777517	115	134,657438266944	200	211,430130678633	95	110,245219831942
22	922	946	465	410,874144667513	368	390,874144667513	82	93,0146828912458	201	203,863048502062	85	93,9964132742063
23	924	906	447	362,070704612815	321	322,070704612815	92	96,5949752468161	164	158,13757518646	65	67,3381541795405
24	939	913	403	347,908611040554	292	296,908611040554	65	68,5739176908224	166	164,824171915081	61	63,5105214346514
25	939	946	478	449,198198496035	338	370,198198496036	96	111,242958486719	185	186,718055925713	57	72,2371840836053
26	943	939	358	348,849941717421	259	294,849941717421	61	79,0355443690416	141	149,06290988284	57	66,7514874655404
27	943	976	274	191,186163206353	154	154,186163206353	52	50,1863565616831	67	68,3417427714938	35	35,6580638731757
28	946	924	368	290,926050885094	241	245,926050885094	67	70,1903049162063	120	115,414326390662	54	60,3214195782258
29	946	534	528	522,146292278456	427	477,146292278456	107	130,067336461758	237	242,166778037112	83	104,912177779586
30	1044	1088	538	546,706204923384	450	511,706204923385	97	123,31148563406	255	271,388626959742	98	117,006092329583
31	1044	1169	376	314,093401136121	250	265,093401136121	83	80,7680981070705	115	116,608208560902	52	67,7170944681486
32	1054	1044	517	486,604075763724	430	466,604075763724	118	125,21033868506	232	235,911841796953	80	105,481895281711
33	1054	1142	446	422,826136017131	352	385,826136017131	74	100,542196896418	207	212,707903521046	71	72,576035599667
34	1067	922	554	479,373351800584	429	442,373351800584	106	114,379990280313	226	228,298984376803	97	99,6943771434682
35	1067	1054	485	456,502251491641	388	429,502251491641	84	106,402173994259	218	222,03502408278	86	101,065053414602
36	1075	919	377	313,014687724876	257	266,014687724876	82	87,1205998979974	124	126,37515664207	51	52,5189311848089
37	1075	1093	410	338,844141662278	288	297,844141662278	62	69,1347480321407	171	170,289627948104	55	58,4197656820335
38	1088	1067	540	488,537805841853	433	461,537805841853	98	108,891835345668	237	245,229991857476	98	107,415978638708
39	1088	1100	420	390,682977936384	298	341,682977936384	66	81,1200199354993	178	194,794057276594	54	65,7689007242922
40	1093	1067	491	439,337797450372	396	422,337797450372	82	101,890328928904	229	229,104016602107	85	91,3434519193621
41	1093	1100	468	426,72632683108	362	369,72632683108	102	103,374474028276	186	188,410417927447	74	77,9414348753571
42	1100	1107	367	323,796035299284	250	269,796035299284	61	69,1430176363617	136	142,505134124154	53	58,1478835387683
43	1100	1184	350	322,613269468179	256	287,613269468179	68	76,3514763274134	134	147,699341079886	54	63,562452060881
44	1107	1075	411	375,858829387154	331	349,858829387154	87	97,2553479301382	176	179,664784590174	68	72,9386968668423
45	1114	1133	372	330,162054720208	263	286,162054720208	63	74,0055444323515	130	138,507817295656	70	73,6486929922019
46	1114	1194	269	184,429874817223	162	149,429874817223	51	51,192033766485	73	64,3168927871225	38	33,9209482636155
47	1124	1114	337	309,591929537431	274	284,591929537431	76	86,1975781988363	122	122,824710082778	76	75,5696412558174
48	1133	1044	451	427,195530295782	325	365,195530295782	83	99,8692450560711	162	175,084993723692	80	90,2412915160203
49	1133	1142	455	407,525696903229	343	350,525696903229	71	68,6352076363656	192	191,252193359528	80	90,6382959073351
50	1142	544	461	448,052593937088	400	425,052593937088	94	104,50713775379	210	210,119268745634	96	110,426187437664
51	1142	1124	341	283,299238983271	213	229,299238983271	46	59,6702667789931	114	117,84082813494	53	51,7881440693384
52	1169	1201	415	364,129297661579	280	317,129297661579	92	94,3068744936003	143	153,512477000442	45	69,3099461675381
53	1176	1088	466	376,514578854852	319	329,514578854851	83	85,7003696471069	176	181,635422174328	60	62,1787870334173
54	1176	1169	351	268,035896525458	172	194,035896525459	46	51,5387763865297	111	120,904268439539	15	21,5928516993895
55	1184	1176	485	444,550475380311	354	386,55047538031	98	105,239146033637	201	217,539690613867	55	63,7716387328068
56	1189	1107	250	183,06279408787	156	155,06279408787	41	43,1123302937765	86	84,1596504660193	29	27,790813328074
57	1189	1184	315	216,93720591213	153	153,93720591213	45	43,8876697062235	78	78,8403495339806	30	31,2091866719259
58	1201	1133	359	328,559172478803	264	288,559172478804	65	68,4989082600853	137	143,829369787565	62	76,2308944311536
59	1201	1194	243	146,570125182777	89	101,570125182777	34	34,807966233515	45	47,6831072128775	10	19,0790517363845
Thanks for chose TyggerSoftware Inc. 2017
