
Scenario Summaries

Total of vehicles entered: 6052
Total of vehicles detected: 6052

SECTIONS
Total inferences: 5095
FPR:  4916
FPR2: 4916
ER:   4997,52201653005
CR:   1506,62089021686
FPR RATIO:   0,9648675171737
FPR2 RATIO:   0,9648675171737

TRIPS
Total inferences: 3626
FPR:  3460
FPR2: 3502
ER:   3528,52324815565
CR:   768,637182789517
FPR RATIO:   0,954219525648097
FPR2 RATIO:   0,965802537231109

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	514	433	324,793907240096	237	230,793907240096	67	66,4848964723453	139	133,773271529945	31	30,5357392378052
1	509	524	265	231,206092759903	176	182,206092759903	45	45,5151035276547	91	96,2267284700543	40	40,4642607621947
2	514	519	575	493,423325407125	409	405,423325407125	108	107,38913292439	236	225,987902912255	65	72,0462895704795
3	519	534	516	466,65828226631	371	367,658282266309	91	88,1094730386516	217	212,283276985956	63	67,2655322417021
4	519	924	398	309,765043140816	246	245,765043140816	63	65,2796598857388	142	136,7046259263	41	43,7807573287773
5	524	539	354	329,522311508579	289	290,522311508579	65	66,4357267937491	154	152,416723916121	70	71,6698607987085
6	529	514	321	291,629418167029	223	225,629418167029	53	54,9042364520451	113	111,21463138231	57	59,5105503326742
7	529	524	341	289,316218748675	216	211,316218748675	57	57,9206232660943	115	107,189995446067	44	46,2056000365138
8	534	529	465	402,626020120709	303	297,626020120708	66	68,0555035417995	173	164,475602058073	64	65,0949145208361
9	534	549	578	552,219608725498	500	503,219608725499	143	143,681113034015	281	275,580915966185	76	83,9575797252979
10	539	544	340	320,606481362996	240	245,606481362995	47	47,7572640016418	145	149,602498136221	48	48,2467192251327
11	539	1124	329	282,915830145584	237	232,915830145583	68	69,6784627921072	111	103,8142257799	58	59,4231415735759
12	544	529	395	376,319616794996	293	296,319616794996	80	80,7693561763399	156	154,929024770305	57	60,6212358483519
13	544	549	499	488,740436926177	409	422,740436926177	67	73,575844834245	243	245,616692798264	99	103,547899293669
14	549	922	530	511,605207501254	442	449,605207501255	93	96,8190581369836	250	250,972263274975	99	101,813886089295
15	549	1054	571	553,354838150422	473	482,354838150422	120	123,437899731277	281	277,225345489474	72	81,6915929296717
16	906	939	347	309,650429008904	272	275,650429008903	76	76,3754371471783	146	141,334394954522	50	57,9405969072038
17	906	976	276	202,139206064085	138	141,139206064085	29	34,0052032925152	81	79,6124457729643	28	27,5215569986059
18	913	919	298	264,873144784675	208	207,873144784675	51	50,265969081503	116	115,505075042229	41	42,1021006609435
19	913	1093	575	555,950947981447	513	517,950947981448	133	131,961230535569	279	280,86362732107	101	105,126090124809
20	919	943	347	324,786310780912	300	301,786310780912	83	82,0430501189385	151	152,262319641982	66	67,4809410199921
21	922	913	526	496,661590815507	446	445,661590815508	114	113,329966017326	238	240,196886787211	94	92,1347380109704
22	922	946	512	459,798494608785	415	419,798494608785	92	97,2016671322329	237	230,978111046108	86	91,6187164304442
23	924	906	491	436,789635072988	366	372,789635072988	95	101,380640439693	199	190,946840727486	72	80,4621539058096
24	939	913	424	399,162501950616	341	346,162501950616	74	73,8972335997468	192	188,171815576088	75	84,0934527747819
25	939	946	518	475,413443903285	362	365,413443903284	102	106,526456958885	203	199,03734479338	57	59,8496421510199
26	943	939	374	342,925516844998	279	283,925516844997	68	72,0482534114536	148	149,874765414946	63	62,002498018598
27	943	976	294	243,860793935914	200	196,860793935915	57	52,9947967074848	95	93,3875542270358	48	50,4784430013941
28	946	924	397	341,024591932173	266	273,024591932172	72	76,1009805539545	137	133,242214801186	57	63,6813965770323
29	946	534	558	519,187346579898	461	462,187346579898	117	122,627143537163	265	256,773241038302	79	82,786962004432
30	1044	1088	566	540,358187030121	484	490,358187030122	125	128,603709215735	266	264,2696913554	93	97,4847864589874
31	1044	1169	401	357,782543931159	294	293,782543931159	92	89,6472148796625	147	146,642938706359	55	57,4923903451367
32	1054	1044	547	519,33445846851	478	484,33445846851	129	128,04702765006	264	265,920298143868	85	90,367132674583
