MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; velocidad
21; 2; 0; 0; 1; 1; 14,0261431922664
32; 10; 0; 0; 1; 1; 11,2809050151125
46; 10; 0; 0; 1; 1; 11,2665342791721
54; 10; 0; 0; 1; 1; 6,27811334125051
68; 19; 0; 0; 1; 1; 9,42637634920573
70; 16; 0; 0; 1; 1; 14,0990981810611
77; 16; 0; 0; 1; 1; 5,63963927242444
98; 2; 0; 0; 1; 1; 4,01983843503138
113; 10; 0; 0; 1; 1; 8,0577892965089
158; 2; 0; 0; 1; 1; 8,42020344544312
176; 10; 1; 0; 1; 0; 8,44782127273656
191; 10; 0; 0; 1; 1; 9,35516627376719
213; 2; 0; 0; 1; 1; 4,68981150753662
231; 10; 0; 0; 1; 1; 5,13663818829587
244; 10; 0; 0; 1; 1; 9,41717001187576
273; 19; 0; 0; 1; 1; 5,65582580952344
281; 11; 0; 0; 1; 1; 4,00941393917601
302; 3; 1; 0; 0,333333333333333; 0,333333333333333; 9,38527357450115
321; 17; 0; 0; 1; 1; 6,24496312394683
321; 10; 0; 0; 1; 1; 11,2809050151125
340; 19; 0; 0; 1; 1; 11,2763014683212
352; 10; 2; 0; 1; 0; 6,03928241616025
358; 2; 1; 0; 1; 0; 7,65473040494829
362; 2; 0; 0; 0,5; 0,5; 8,02733356117959
363; 20; 0; 0; 1; 1; 14,0886266508131
365; 21; 0; 0; 1; 1; 7,98998492008638
379; 16; 0; 0; 1; 1; 11,2128235288417
379; 2; 0; 0; 1; 1; 7,03006814715048
402; 16; 0; 0; 1; 1; 18,7775571319412
412; 16; 0; 0; 1; 1; 11,2128235288417
468; 2; 1; 0; 1; 0; 4,69017331851084
498; 2; 1; 0; 1; 0; 9,37962301507323
503; 2; 1; 0; 1; 0; 4,01366678058979
510; 18; 0; 0; 1; 1; 7,03173696477135
528; 20; 0; 0; 1; 1; 7,05156359990031
543; 10; 0; 0; 1; 1; 8,07186001017923
546; 18; 0; 0; 1; 1; 6,98856855717409
555; 2; 1; 0; 1; 0; 4,00180962368914
615; 2; 0; 0; 1; 1; 11,2209145538131
620; 3; 1; 0; 1; 0; 8,66056665018511
630; 16; 0; 0; 1; 1; 11,2128235288417
630; 10; 0; 0; 1; 1; 11,2809050151125
647; 2; 0; 0; 1; 1; 8,02733356117959
671; 2; 0; 0; 1; 1; 6,24253821842544
673; 11; 2; 0; 1; 0; 10,524711590337
679; 16; 0; 0; 1; 1; 8,00915966345835
