
Scenario Summaries

Total of vehicles entered: 5015
Total of vehicles detected: 5015

SECTIONS
Total inferences: 1321
FPR:  1085
FPR2: 1085
ER:   1236,82158004453
CR:   375,143643108698
FPR RATIO:   0,821347464042392
FPR2 RATIO:   0,821347464042392

TRIPS
Total inferences: 1224
FPR:  974
FPR2: 1029
ER:   1139,82384429928
CR:   329,350483400758
FPR RATIO:   0,795751633986928
FPR2 RATIO:   0,840686274509804

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	354	160,062377873109	114	109,062377873108	42	40,7328598807379	58	55,2230230161143	14	13,1064949762564
1	509	539	284	147,937622126892	65	69,9376221268914	16	19,2671401192621	38	38,7769769838857	11	11,8935050237436
2	519	534	509	325,464089711385	185	188,464089711385	54	58,4340195243066	105	99,1196186973145	26	30,910451489764
3	519	906	255	75,9263764271816	53	52,9263764271816	21	17,4496988668478	22	27,8494810976057	10	7,62719646272807
4	529	519	132	89,3280882654581	36	44,3280882654582	13	15,1508585104166	14	16,746076778806	9	12,4311529762357
5	529	539	61	28,0936384923914	18	17,0936384923914	3	7,2135295098429	11	8,67958961315352	4	1,20051936939501
6	534	529	438	251,262000599911	146	142,262000599911	43	49,0513054318006	79	67,9242483000174	24	25,2864468680925
7	534	922	185	141,378898566675	106	102,378898566675	23	22,5982905637467	61	54,2929481128352	22	25,4876598900932
8	534	1067	0	3,68904565698931	0	3,68904565698931	0	2,62553886825081	0	1,00900230444434	0	0,0545044842941554
9	534	1100	70	39,9237351816082	22	18,9237351816082	6	3,95582415923431	13	12,0241576032291	3	2,94375341914477
10	534	1201	83	46,9596313362033	27	24,9596313362033	13	11,9542125283974	11	9,98327456409643	3	3,0221442437095
11	534	1114	31	18,8933297764598	6	11,8933297764598	3	1,02323027149611	2	7,79068083541041	1	3,07941866955326
12	539	529	101	52,831648588433	2	2,83164858843298	1	1,37260068312952	1	1,00349818371255	0	0,455549721590914
13	539	922	169	86,3003333317484	51	53,3003333317485	8	10,2274396023729	28	31,1474403377397	15	11,9254533916359
14	539	1067	0	0,163896344565991	0	0,163896344565991	0	0,104137429649686	0	0	0	0,0597589149163049
15	539	1100	40	21,0031843519797	2	2,00318435197975	0	0,509634904838323	2	0,365677290546671	0	1,12787215659476
16	539	1201	18	9,63680532414082	0	2,63680532414082	0	1,9081662494217	0	0,728639074719116	0	0
17	539	1114	215	120,095392678415	65	63,0953926784149	17	19,3586907596929	35	32,2113117103212	13	11,5253902084008
18	539	1114	0	0	0	0	0	0	0	0	0	0
