
Scenario Summaries

Total of vehicles entered: 6154
Total of vehicles detected: 6154

SECTIONS
Total inferences: 2027
FPR:  1952
FPR2: 1958
ER:   2017,81666666667
CR:   477,229363460759
FPR RATIO:   0,962999506660089
FPR2 RATIO:   0,965959546127282

TRIPS
Total inferences: 1849
FPR:  1780
FPR2: 1807
ER:   1839,81666666667
CR:   389,741455252551
FPR RATIO:   0,962682531097891
FPR2 RATIO:   0,977285018929151

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	505	449	203	203	61	61	116	116	26	26
1	509	539	317	301	139	139	36	36	78	78	25	25
2	519	534	614	605,183333333333	222	221,183333333333	54	54	138	137,183333333333	30	30
3	519	906	373	336,25	177	177,25	44	43	103	105,25	30	29
4	529	519	152	149,433333333333	65	64,4333333333333	17	16	33	34,4333333333333	15	14
5	529	539	109	88,2	60	41,2	10	8	44	29	6	4,2
6	534	529	583	549,633333333333	195	178,633333333333	46	44	121	108,433333333333	28	26,2
7	534	922	225	224,7	73	72,7	11	11	47	46,3	15	15,4
8	534	1054	430	459,85	199	235,85	68	74,5	104	130,05	27	31,3
9	539	544	428	417,2	139	139,2	32	32	83	83	24	24,2
10	539	1124	411	373	217	198	61	59	118	103	38	36
11	544	529	473	461	202	199	54	53	117	116	31	30
12	544	922	379	372,1	154	156,1	25	25	89	87,7	40	43,4
13	544	1054	186	186,066666666667	53	54,0666666666667	15	16	28	28,0666666666667	10	10
14	906	939	456	418	197	198	53	53	117	118	27	27
15	906	976	431	403	177	196	39	40	101	111	37	45
16	913	943	166	145,866666666667	107	88,8666666666667	17	15	61	51,8666666666667	29	22
17	913	922	7	8,98333333333333	4	5,98333333333333	0	0	2	3,78333333333333	2	2,2
18	913	1054	148	122,766666666667	69	50,7666666666667	14	9,5	45	32,1666666666667	10	9,1
19	913	1100	446	429,883333333334	186	184,883333333333	39	39	117	116,883333333333	30	29
20	922	913	598	571,25	239	220,25	43	41	143	132,25	53	47
21	922	906	208	222,5	100	119,5	27	29	53	61,5	20	29
22	922	534	201	200,966666666667	94	95,9666666666667	26	27	52	52,7666666666667	16	16,2
23	939	913	484	442,25	208	191,25	48	43,5	129	119,45	31	28,3
24	939	906	38	35,25	5	5,25	1	1	3	3,25	1	1
25	939	534	447	452,033333333334	163	182,033333333333	48	52,5	88	99,8333333333333	27	29,7
26	943	939	467	442,533333333334	153	154,533333333333	41	41	79	80,5333333333333	33	33
27	943	976	399	350	194	175	41	39	108	98	45	38
28	1044	1088	661	650,3	351	352,3	96	95	188	189,1	67	68,2
29	1044	1201	246	245,116666666667	127	127,116666666667	52	52	56	55,1166666666667	19	20
30	1054	1044	610	602,016666666667	270	272,016666666667	87	87	139	139,016666666667	44	46
31	1054	544	210	205,433333333333	100	98,4333333333333	18	17	73	72,2333333333333	9	9,2
32	1054	1124	256	253,316666666667	76	95,3166666666666	23	25	36	51,1166666666667	17	19,2
33	1075	943	294	277,666666666667	134	134,666666666667	37	37	72	72,6666666666666	25	25
34	1075	922	141	136,233333333333	19	20,2333333333333	5	6	13	13,2333333333333	1	1
35	1075	1054	269	252,45	91	90,45	21	20	54	53,45	16	17
36	1075	1100	100	84,3333333333333	4	3,33333333333333	0	0	4	3,33333333333333	0	0
37	1088	922	452	424,7	220	217,7	63	63	115	112,5	42	42,2
38	1088	1054	140	135,633333333333	52	52,6333333333333	12	11	29	30,6333333333333	11	11
39	1088	1100	559	551,566666666667	254	256,566666666667	59	59	149	150,566666666667	46	47
40	1100	1107	473	465,683333333333	186	186,683333333333	43	43	107	107,683333333333	36	36
41	1100	1176	198	195,1	90	90,1	17	17	61	61,1	12	12
42	1107	1075	500	491,683333333333	232	232,683333333333	66	66	123	123,683333333333	43	43
43	1114	1133	496	471,316666666667	256	256,316666666667	79	79	124	124,116666666667	53	53,2
44	1124	1114	396	382,316666666667	199	199,316666666667	55	55	91	91,1166666666667	53	53,2
45	1133	1044	579	555,4	286	285,4	83	82	147	147,2	56	56,2
46	1133	544	363	359,533333333333	162	163,533333333333	44	45	74	73,5333333333333	44	45
47	1133	1124	191	187	45	45	15	15	19	19	11	11
48	1176	1088	539	510,6	191	190,6	48	48	107	106,6	36	36
49	1176	1201	264	223,5	62	62,5	26	26	24	24,5	12	12
50	1189	1107	376	350	138	138	48	48	68	68	22	22
51	1189	1176	362	321	101	101	37	37	45	45,0000000000001	19	19
52	1201	1133	461	454,616666666667	177	177,616666666667	49	49	86	86,6166666666666	42	42
Thanks for chose TyggerSoftware Inc. 2017
