MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
1342; 2; 1; 1; 1; 1; 0; 0; 0,499871699868275; 0,500128300131725
1364; 16; 0; 0; 1; 1; 1; 0; 1; 0
1368; 3; 0; 0; 1; 1; 1; 0; 1; 0
1370; 2; 0; 0; 1; 1; 1; 0; 1; 0
1376; 2; 0; 0; 1; 1; 1; 0; 1; 0
1380; 20; 1; 0; 1; 0; 1; 0; 1; 0
1471; 2; 0; 0; 1; 1; 1; 0; 1; 0
1474; 3; 0; 0; 1; 1; 1; 0; 1; 0
1477; 2; 0; 0; 1; 1; 1; 0; 1; 0
1478; 3; 0; 0; 1; 1; 1; 0; 1; 0
1484; 16; 0; 0; 1; 1; 1; 0; 1; 0
1495; 20; 0; 0; 1; 1; 1; 0; 1; 0
1522; 19; 0; 2; 1; 0; 0; 0; 0,248701256643475; 0,751298743356526
1553; 18; 0; 2; 1; 0; 0; 0; 0,249836158183357; 0,750163841816643
1576; 2; 0; 0; 1; 1; 1; 0; 1; 0
1587; 10; 0; 0; 1; 1; 1; 0; 1; 0
1588; 2; 0; 0; 1; 1; 1; 0; 1; 0
1629; 4; 0; 0; 1; 1; 1; 0; 1; 0
1675; 13; 2; 0; 1; 0; 1; 0; 1; 0
1687; 2; 0; 0; 1; 1; 1; 0; 1; 0
1689; 10; 0; 0; 1; 1; 1; 0; 1; 0
1691; 22; 0; 0; 1; 1; 1; 0; 1; 0
1692; 2; 0; 0; 1; 1; 1; 0; 1; 0
1702; 10; 0; 0; 1; 1; 1; 0; 1; 0
1703; 10; 0; 2; 1; 0; 0; 1; 0; 1
1716; 22; 0; 0; 0,0454545454545455; 0,0454545454545455; 1; 0; 1; 0
1726; 10; 0; 0; 1; 1; 1; 0; 1; 0
1729; 2; 0; 0; 1; 1; 1; 0; 1; 0
1753; 10; 0; 2; 1; 0; 0; 0; 0,14218621912864; 0,85781378087136
1776; 2; 0; 0; 1; 1; 1; 0; 1; 0
1808; 18; 0; 2; 1; 0; 0; 0; 0,249836158183357; 0,750163841816643
1809; 32; 1; 1; 1; 1; 0; 0; 0,500984484812199; 0,499015515187801
1811; 22; 0; 0; 1; 1; 1; 0; 1; 0
1813; 4; 0; 0; 1; 1; 1; 0; 1; 0
1842; 2; 0; 0; 0,5; 0,5; 1; 0; 1; 0
1875; 2; 1; 0; 1; 0; 1; 0; 1; 0
1944; 2; 0; 0; 1; 1; 1; 0; 1; 0
1948; 2; 0; 0; 1; 1; 1; 0; 1; 0
1954; 2; 0; 0; 1; 1; 1; 0; 1; 0
1956; 10; 0; 0; 1; 1; 1; 0; 1; 0
1965; 3; 0; 0; 1; 1; 1; 0; 1; 0
1975; 2; 0; 0; 1; 1; 1; 0; 1; 0
1984; 2; 0; 0; 1; 1; 1; 0; 1; 0
1996; 2; 0; 1; 0,5; 0,5; 0; 0; 0,199321718519391; 0,800678281480609
2008; 22; 0; 0; 1; 1; 1; 0; 1; 0
2020; 2; 0; 0; 1; 1; 1; 0; 1; 0
2030; 2; 1; 1; 1; 1; 0; 0; 0,333212359042951; 0,666787640957049
2031; 10; 0; 0; 1; 1; 1; 0; 1; 0
2032; 4; 1; 0; 1; 0; 1; 0; 1; 0
2107; 10; 0; 0; 1; 1; 1; 0; 1; 0
2126; 10; 0; 0; 0,1; 0,1; 1; 0; 1; 0
2133; 10; 0; 2; 1; 0; 0; 1; 0; 1
2175; 40; 0; 0; 1; 1; 1; 0; 1; 0
2177; 20; 0; 0; 1; 1; 1; 0; 1; 0
2210; 10; 0; 0; 1; 1; 1; 0; 1; 0
2246; 10; 0; 0; 1; 1; 1; 0; 1; 0
2262; 10; 0; 0; 1; 1; 1; 0; 1; 0
2278; 4; 0; 0; 1; 1; 1; 0; 1; 0
2281; 2; 0; 0; 1; 1; 1; 0; 1; 0
2283; 2; 1; 0; 1; 0; 1; 0; 1; 0
2287; 10; 0; 0; 1; 1; 1; 0; 1; 0
2299; 4; 0; 0; 1; 1; 1; 0; 1; 0
2316; 10; 0; 0; 1; 1; 1; 0; 1; 0
2378; 2; 0; 0; 1; 1; 1; 0; 1; 0
2398; 2; 0; 0; 1; 1; 1; 0; 1; 0
2413; 10; 0; 0; 1; 1; 1; 0; 1; 0
2417; 10; 0; 0; 1; 1; 1; 0; 1; 0
2423; 10; 0; 0; 1; 1; 1; 0; 1; 0
2426; 16; 0; 0; 1; 1; 1; 0; 1; 0
2440; 3; 0; 0; 1; 1; 1; 0; 1; 0
2442; 2; 0; 0; 1; 1; 1; 0; 1; 0
2446; 2; 0; 0; 1; 1; 1; 0; 1; 0
2453; 18; 0; 0; 0,0555555555555555; 0,0555555555555555; 1; 0; 1; 0
2455; 2; 0; 1; 1; 0; 0; 1; 0; 1
2456; 10; 0; 0; 1; 1; 1; 0; 1; 0
2499; 16; 0; 0; 1; 1; 1; 0; 1; 0
2507; 10; 0; 0; 1; 1; 1; 0; 1; 0
2511; 2; 0; 0; 1; 1; 1; 0; 1; 0
2514; 40; 0; 0; 1; 1; 1; 0; 1; 0
2518; 2; 0; 0; 1; 1; 1; 0; 1; 0
2525; 2; 0; 0; 1; 1; 1; 0; 1; 0
2531; 22; 0; 0; 0,0454545454545455; 0,0454545454545455; 1; 0; 1; 0
2532; 20; 0; 0; 1; 1; 1; 0; 1; 0
2536; 10; 0; 0; 1; 1; 1; 0; 1; 0
2540; 18; 0; 0; 1; 1; 1; 0; 1; 0
2542; 2; 0; 0; 1; 1; 1; 0; 1; 0
2553; 2; 0; 0; 1; 1; 1; 0; 1; 0
2571; 3; 0; 0; 1; 1; 1; 0; 1; 0
2587; 10; 0; 0; 1; 1; 1; 0; 1; 0
2609; 2; 1; 1; 1; 1; 0; 0; 0,201011461648518; 0,798988538351482
2616; 22; 0; 0; 1; 1; 1; 0; 1; 0
2626; 2; 0; 1; 1; 0; 0; 0; 0,249098786887142; 0,750901213112858
2627; 19; 0; 0; 1; 1; 1; 0; 1; 0
2636; 16; 0; 0; 1; 1; 1; 0; 1; 0
2657; 10; 0; 0; 1; 1; 1; 0; 1; 0
2671; 2; 0; 0; 1; 1; 1; 0; 1; 0
2691; 10; 0; 0; 1; 1; 1; 0; 1; 0
2695; 10; 0; 0; 1; 1; 1; 0; 1; 0
2701; 20; 0; 0; 1; 1; 1; 0; 1; 0
2702; 2; 0; 0; 1; 1; 1; 0; 1; 0
2708; 2; 0; 0; 1; 1; 1; 0; 1; 0
2715; 2; 0; 0; 1; 1; 1; 0; 1; 0
2723; 16; 0; 0; 1; 1; 1; 0; 1; 0
2748; 10; 3; 0; 1; 0; 1; 0; 1; 0
2762; 3; 0; 0; 1; 1; 1; 0; 1; 0
2775; 3; 0; 0; 1; 1; 1; 0; 1; 0
2776; 11; 0; 0; 1; 1; 1; 0; 1; 0
2807; 11; 0; 0; 1; 1; 1; 0; 1; 0
2810; 16; 0; 0; 0,0625; 0,0625; 1; 0; 1; 0
2822; 68; 0; 0; 1; 1; 1; 0; 1; 0
2832; 10; 0; 0; 1; 1; 1; 0; 1; 0
2838; 11; 0; 0; 1; 1; 1; 0; 1; 0
2853; 3; 0; 0; 1; 1; 1; 0; 1; 0
2856; 2; 0; 0; 1; 1; 1; 0; 1; 0
2858; 17; 0; 0; 0,0588235294117647; 0,0588235294117647; 1; 0; 1; 0
2872; 2; 0; 1; 1; 0; 0; 0; 0,500296553284424; 0,499703446715576
2874; 2; 1; 0; 1; 0; 1; 0; 1; 0
2875; 16; 0; 0; 1; 1; 1; 0; 1; 0
2878; 2; 0; 0; 1; 1; 1; 0; 1; 0
2883; 16; 0; 0; 1; 1; 1; 0; 1; 0
2911; 10; 0; 0; 1; 1; 1; 0; 1; 0
2921; 14; 0; 10; 0,0714285714285714; 0,0714285714285714; 0; 1; 0; 1
2936; 20; 0; 0; 1; 1; 1; 0; 1; 0
2952; 10; 0; 0; 1; 1; 1; 0; 1; 0
2957; 2; 0; 0; 1; 1; 1; 0; 1; 0
2963; 3; 0; 0; 1; 1; 1; 0; 1; 0
2973; 2; 0; 0; 0,5; 0,5; 1; 0; 1; 0
2992; 2; 0; 0; 1; 1; 1; 0; 1; 0
3011; 20; 0; 0; 1; 1; 1; 0; 1; 0
3018; 2; 1; 0; 1; 0; 1; 0; 1; 0
3060; 2; 0; 0; 1; 1; 1; 0; 1; 0
3063; 10; 0; 0; 1; 1; 1; 0; 1; 0
3082; 3; 0; 0; 1; 1; 1; 0; 1; 0
3095; 16; 0; 0; 1; 1; 1; 0; 1; 0
3103; 3; 0; 0; 1; 1; 1; 0; 1; 0
3121; 2; 0; 1; 0,5; 0,5; 0; 0; 0,500599967389935; 0,499400032610065
3129; 16; 0; 0; 1; 1; 1; 0; 1; 0
3152; 3; 0; 0; 1; 1; 1; 0; 1; 0
3158; 2; 0; 0; 1; 1; 1; 0; 1; 0
3160; 2; 0; 0; 0,5; 0,5; 1; 0; 1; 0
