
Scenario Summaries

Total of vehicles entered: 5925
Total of vehicles detected: 5925

SECTIONS
Total inferences: 4767
FPR:  4571
FPR2: 4587
ER:   4719,12212962963
CR:   1354,18568426259
FPR RATIO:   0,958883994126285
FPR2 RATIO:   0,962240402769037

TRIPS
Total inferences: 3381
FPR:  3184
FPR2: 3230
ER:   3333,59435185185
CR:   659,399938597562
FPR RATIO:   0,941733215025141
FPR2 RATIO:   0,955338657202011

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	514	411	279,2	213	211,2	65	65,6	121	118,6	27	27
1	509	524	247	185,8	149	150,8	32	35,4	80	78,4000000000001	37	37
2	514	519	535	432,364722222222	367	370,364722222222	105	104,94	205	203,94	57	61,4847222222223
3	519	534	499	423,515833333333	359	365,515833333333	90	92,46	214	211,06	55	61,9958333333333
4	519	924	364	245,848888888889	189	185,848888888889	55	52,48	103	104,88	31	28,4888888888889
5	524	539	325	280,934351851851	252	254,934351851851	58	59,56	130	128,458148148148	64	66,9162037037038
6	529	514	312	263,164722222221	204	209,164722222221	54	55,34	96	98,3399999999998	54	55,4847222222223
7	529	524	320	256,134351851851	189	190,134351851851	58	56,16	96	93,0581481481481	35	40,9162037037037
8	534	529	419	350,154722222221	269	280,154722222221	69	69,16	146	148,382222222222	54	62,6125000000001
9	534	549	556	505,124166666667	471	478,124166666667	133	135,46	263	254,804444444444	75	87,8597222222223
10	539	544	351	297,588888888889	254	252,588888888889	52	54,3	147	145,816666666667	55	52,4722222222222
11	539	1124	312	257,345462962963	198	202,345462962963	61	61,26	89	89,6414814814815	48	51,4439814814815
12	544	529	362	318,144351851851	268	263,144351851851	78	79,34	139	132,015925925926	51	51,788425925926
13	544	549	490	436,071296296296	400	397,071296296296	69	71	230	220,837037037037	101	105,234259259259
14	549	922	518	467,011481481481	423	427,011481481481	94	91,04	234	232,119629629629	95	103,851851851852
15	549	1054	547	493,183981481482	463	463,183981481482	117	124,42	268	252,521851851851	78	86,2421296296297
16	906	939	349	269,03111111111	241	238,03111111111	72	69,56	125	123,96	44	44,5111111111111
17	906	976	230	138,6	88	93,5999999999999	25	27,8	47	46	16	19,8
18	913	919	290	217,433796296296	171	174,433796296296	49	49	83	82,8648148148148	39	42,5689814814815
19	913	1093	533	492,093333333334	462	468,093333333334	122	118,78	236	237,102222222222	104	112,211111111111
20	919	943	328	275,677314814814	247	252,677314814813	77	74,3	114	117,612962962963	56	60,7643518518519
21	922	913	511	450,512314814815	410	415,512314814815	115	112,38	200	203,67074074074	95	99,4615740740741
22	922	946	465	401,251666666666	368	381,251666666666	82	87,78	201	197,93	85	95,5416666666668
23	924	906	447	363,631111111112	321	323,631111111112	92	94,36	164	158,96	65	70,3111111111112
24	939	913	403	347,014814814815	292	296,014814814814	65	64,4	166	163,296296296296	61	68,3185185185186
25	939	946	478	421,29361111111	338	342,29361111111	96	96,26	185	181,276666666666	57	64,7569444444445
26	943	939	358	324,277314814814	259	270,277314814814	61	63,1	141	144,612962962963	57	62,5643518518519
27	943	976	274	185,4	154	148,4	52	49,2	67	65	35	34,2
28	946	924	368	291,782222222222	241	246,782222222222	67	71,88	120	112,08	54	62,8222222222222
29	946	534	528	483,763055555555	427	438,763055555554	107	108,16	237	234,126666666666	83	96,4763888888891
30	1044	1088	538	505,978703703703	450	470,978703703703	97	104,8	255	254,846296296295	98	111,332407407408
31	1044	1169	376	303,983333333333	250	254,983333333333	83	80	115	117,638888888889	52	57,3444444444445
32	1054	1044	517	457,762962962963	430	437,762962962963	118	121,5	232	226,27037037037	80	89,9925925925927
33	1054	1142	446	384,648888888888	352	347,648888888888	74	79,08	207	195,335555555555	71	73,2333333333334
34	1067	922	554	480,7525	429	443,7525	106	113,12	226	226,481111111111	97	104,151388888889
35	1067	1054	485	418,227870370369	388	391,227870370369	84	85,16	218	215,084074074074	86	90,9837962962964
36	1075	919	377	306,243518518518	257	259,243518518518	82	79,3	124	124,748148148148	51	55,1953703703704
37	1075	1093	410	327,092592592591	288	286,092592592591	62	65	171	165,862962962963	55	55,2296296296297
38	1088	1067	540	476,211296296296	433	449,211296296295	98	101,12	237	241,045925925925	98	107,04537037037
39	1088	1100	420	353,839629629629	298	304,839629629629	66	66,68	178	178,411481481481	54	59,7481481481482
40	1093	1067	491	414,769074074073	396	397,769074074073	82	87,16	229	224,519259259259	85	86,0898148148149
41	1093	1100	468	421,416851851852	362	364,416851851852	102	96,62	186	185,445925925926	74	82,350925925926
42	1100	1107	367	305,336111111111	250	251,33611111111	61	57,3	136	136,111111111111	53	57,9250000000001
43	1100	1184	350	298,920370370369	256	263,920370370369	68	67	134	134,746296296296	54	62,1740740740741
44	1107	1075	411	357,33611111111	331	331,33611111111	87	85,3	176	173,611111111111	68	72,4250000000002
45	1114	1133	372	313,498055555555	263	269,498055555555	63	65,34	130	133,128888888889	70	71,0291666666667
46	1114	1194	269	192,5	162	157,5	51	54	73	64,0000000000001	38	39,5
47	1124	1114	337	300,998055555554	274	275,998055555555	76	80,34	122	117,128888888889	76	78,5291666666667
48	1133	1044	451	405,199074074073	325	343,199074074073	83	84,3	162	169,214814814814	80	89,6842592592593
49	1133	1142	455	395,630462962962	343	338,630462962962	71	72,04	192	183,188148148148	80	83,4023148148149
50	1142	544	461	416,626759259258	400	393,626759259258	94	95,04	210	197,036296296296	96	101,550462962963
51	1142	1124	341	264,652592592592	213	210,652592592592	46	51,08	114	105,487407407407	53	54,0851851851852
52	1169	1201	415	338,831481481481	280	291,83148148148	92	88	143	145,274074074074	45	58,5574074074075
53	1176	1088	466	368,072222222222	319	321,072222222222	83	82	176	177,611111111111	60	61,4611111111111
54	1176	1169	351	252,848148148147	172	178,848148148147	46	46	111	111,635185185185	15	21,2129629629629
55	1184	1176	485	420,92037037037	354	362,92037037037	98	96	201	204,246296296296	55	62,6740740740741
56	1189	1107	250	183	156	155	41	43	86	84,4999999999999	29	27,5
57	1189	1184	315	217	153	154	45	44	78	78,5	30	31,5
58	1201	1133	359	311,33148148148	264	271,33148148148	65	65	137	135,274074074074	62	71,0574074074076
59	1201	1194	243	138,5	89	93,5	34	32	45	48	10	13,5
Thanks for chose TyggerSoftware Inc. 2017
