
Scenario Summaries

Total of vehicles entered: 6235
Total of vehicles detected: 6235

SECTIONS
Total inferences: 3736
FPR:  3733
FPR2: 3734
ER:   3735,5
CR:   1218,32254172303
FPR RATIO:   0,999197002141328
FPR2 RATIO:   0,999464668094218

TRIPS
Total inferences: 3002
FPR:  3000
FPR2: 3001
ER:   3001,5
CR:   808,657136182018
FPR RATIO:   0,999333777481679
FPR2 RATIO:   0,999666888740839

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	514	576	545	324	324	95	95	179	179	50	50
1	509	524	353	342	206	206	55	55	111	111	40	40
2	514	519	688	674	440	440	119	118	246	246	75	76
3	519	534	612	608	317	317	79	79	187	186	51	52
4	519	924	535	520	314	314	77	76	181	182	56	56
5	524	539	454	452	303	303	72	72	175	175	56	56
6	529	514	426	419	235	235	60	59	132	133	43	43
7	529	524	452	449	232	232	65	65	137	137	30	30
8	534	529	606	600	289	289	75	74	170	171	44	44
9	534	549	672	670	425	425	120	120	238	237	67	68
10	539	544	420	418	225	225	47	47	142	142	36	36
11	539	1124	410	407	276	276	81	81	140	140	55	55
12	544	529	491	487	293	293	71	71	176	176	46	46
13	544	549	570	568	323	323	58	58	200	198	65	67
14	549	922	619	617	369	369	69	69	226	224	74	76
15	549	1054	637	635	387	387	110	110	216	215	61	62
16	906	939	436	429	263	263	71	71	156	156	36	36
17	906	976	399	388	240	241	60	59	132	133	48	49
18	913	919	372	369	211	210	43	43	121	120	47	47
19	913	1093	650	644	440	440	99	99	263	262	78	79
20	919	943	446	443	330	329	79	79	180	179	71	71
21	922	913	616	612	377	376	79	79	218	217	80	80
22	922	946	588	581	390	391	97	97	230	229	63	65
23	924	906	604	595	415	416	110	109	231	232	74	75
24	939	913	485	478	307	307	73	73	182	181	52	53
25	939	946	605	599	298	298	89	89	161	161	48	48
26	943	939	457	451	259	259	69	69	138	138	52	52
27	943	976	383	369	255	254	57	57	142	141	56	56
28	946	924	458	450	253	254	68	68	140	139	45	47
29	946	534	666	662	396	396	113	113	224	224	59	59
30	1044	1088	659	651,5	424	424,5	108	108	236	236,5	80	80
31	1044	1169	483	478	290	290	97	97	141	140	52	53
32	1054	1044	634	631,5	426	426,5	121	121	233	232,5	72	73
33	1054	1142	555	550	353	353	71	71	223	221	59	61
34	1067	922	666	657	432	432	119	119	237	237	76	76
35	1067	1054	588	582,5	406	406,5	83	83	250	248,5	73	75
36	1075	919	508	506	318	318	101	101	156	156	61	61
37	1075	1093	500	492	304	304	61	61	196	195	47	48
38	1088	1067	619	611	415	415	113	113	224	224	78	78
39	1088	1100	563	556,5	316	316,5	70	70	191	191,5	55	55
40	1093	1067	590	583,5	404	404,5	81	81	257	255,5	66	68
41	1093	1100	602	595,5	352	351,5	83	83	207	205,5	62	63
42	1100	1107	474	466	268	268	62	62	157	157	49	49
43	1100	1184	446	441	281	281	66	66	160	159	55	56
44	1107	1075	559	557	378	378	105	105	203	203	70	70
45	1114	1133	481	471	305	305	88	88	156	156	61	61
46	1114	1194	382	372	233	233	61	61	124	123	48	49
47	1124	1114	458	457	333	333	89	89	165	164	79	80
48	1133	1044	568	558	335	335	94	94	173	173	68	68
49	1133	1142	571	567	298	298	73	73	161	160	64	65
50	1142	544	590	586	381	381	80	80	230	229	71	72
51	1142	1124	434	429	212	212	56	56	112	111	44	45
52	1169	1201	554	551	345	345	129	129	166	165	50	51
53	1176	1088	523	516	313	313	82	82	177	177	54	54
54	1176	1169	535	527	273	273	89	89	150	150	34	34
55	1184	1176	599	594	375	375	117	117	203	203	55	55
56	1189	1107	369	350	217	217	69	69	112	112	36	36
57	1189	1184	437	419	219	219	83	83	104	104	32	32
58	1201	1133	462	458	245	245	59	59	136	136	50	50
59	1201	1194	358	354	202	202	79	79	99	99	24	24
Thanks for chose TyggerSoftware Inc. 2017
