MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
4; 11; 0; 0; 1; 1; 1; 0; 1; 0
21; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 20; 0; 0; 1; 1; 1; 0; 1; 0
68; 3; 0; 0; 1; 1; 1; 0; 1; 0
70; 16; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 1; 1; 1; 0; 1; 0
109; 2; 0; 0; 1; 1; 1; 0; 1; 0
113; 40; 12; 0; 0,1; 0,1; 1; 0; 1; 0
128; 2; 0; 0; 1; 1; 1; 0; 1; 0
176; 10; 0; 0; 1; 1; 1; 0; 1; 0
191; 10; 0; 0; 1; 1; 1; 0; 1; 0
231; 20; 0; 0; 1; 1; 1; 0; 1; 0
235; 10; 0; 0; 1; 1; 1; 0; 1; 0
244; 20; 0; 0; 1; 1; 1; 0; 1; 0
273; 3; 0; 0; 1; 1; 1; 0; 1; 0
277; 10; 0; 0; 1; 1; 1; 0; 1; 0
281; 10; 0; 0; 1; 1; 1; 0; 1; 0
302; 10; 0; 0; 1; 1; 1; 0; 1; 0
304; 10; 0; 0; 1; 1; 1; 0; 1; 0
321; 10; 3; 0; 0,1; 0,1; 1; 0; 1; 0
340; 2; 1; 1; 1; 1; 0; 0; 0,167385047325938; 0,832614952674062
358; 2; 0; 0; 0,5; 0,5; 1; 0; 1; 0
362; 3; 0; 0; 1; 1; 1; 0; 1; 0
363; 3; 0; 0; 1; 1; 1; 0; 1; 0
365; 10; 0; 0; 1; 1; 1; 0; 1; 0
379; 68; 24; 0; 0,0588235294117647; 0,0588235294117647; 1; 0; 1; 0
402; 2; 1; 1; 1; 1; 0; 0; 0,200412394553236; 0,799587605446764
416; 10; 0; 2; 1; 0; 0; 0; 0,14218621912864; 0,85781378087136
447; 10; 0; 0; 1; 1; 1; 0; 1; 0
468; 10; 0; 0; 1; 1; 1; 0; 1; 0
477; 2; 0; 0; 1; 1; 1; 0; 1; 0
498; 2; 0; 0; 1; 1; 1; 0; 1; 0
503; 2; 0; 1; 0,5; 0,5; 0; 1; 0; 1
510; 2; 1; 1; 1; 1; 0; 0; 0,201011461648518; 0,798988538351482
