
Scenario Summaries

Total of vehicles entered: 6235
Total of vehicles detected: 6235

SECTIONS
Total inferences: 3736
FPR:  3726
FPR2: 3726
ER:   3733,20621782662
CR:   1218,32254172303
FPR RATIO:   0,997323340471092
FPR2 RATIO:   0,997323340471092

TRIPS
Total inferences: 3002
FPR:  2993
FPR2: 2994
ER:   2999,2062848337
CR:   808,657136182018
FPR RATIO:   0,997001998667555
FPR2 RATIO:   0,997335109926715

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	514	576	545,061034636198	324	324,061034636198	95	95,0146970197782	179	179,046387356797	50	49,9999502596224
1	509	524	353	341,938965363802	206	205,938965363802	55	54,9853029802218	111	110,953612643203	40	40,0000497403776
2	514	519	688	674,061932171634	440	440,061932171634	119	118,015579094367	246	246,046387356797	75	75,9999657204702
3	519	534	612	607,546410842248	317	316,546410842249	79	79,0146468316376	187	185,531697595839	51	52,0000664147715
4	519	924	535	520,515521329386	314	314,515521329386	77	76,0009322627294	181	182,514689760958	56	55,9998993056987
5	524	539	454	451,743103186005	303	302,743103186005	72	72,337954469781	175	174,405084000221	56	56,0000647160035
6	529	514	426	419,000897535436	235	235,000897535436	60	59,0008820745888	132	133	43	43,0000154608478
7	529	524	452	448,804137822203	232	231,804137822203	65	65,3526514895592	137	136,451471357018	30	30,0000149756259
8	534	529	606	600,99884354498	289	289,99884354498	75	75,36197755818	170	170,587483033688	44	44,0493829531119
9	534	549	672	672,908600008324	425	427,908600008325	120	122,663043225161	238	237,225707302246	67	68,0198494809175
10	539	544	420	418,139366988005	225	225,139366988005	47	47,0000300456898	142	142,132747104718	36	36,0065898375977
11	539	1124	410	406,603736198	276	275,603736198	81	81,3379244240912	140	139,272336895503	55	54,9934748784057
12	544	529	491	485,80619181266	293	291,80619181266	71	69,991556005968	176	175,86398832333	46	45,9506474833618
13	544	549	570	570,253811536979	323	325,253811536979	58	59,0004969413029	200	198,237038087766	65	68,0162765079105
14	549	922	619	618,712638140282	369	370,712638140282	69	70,0029876424435	226	223,685558018391	74	77,0240924794469
15	549	1054	637	638,449773405022	387	390,449773405022	110	112,660552524021	216	215,777187371621	61	62,012033509381
16	906	939	436	429,518662323327	263	263,518662323327	71	71,0003945461759	156	156,517819720272	36	36,0004480568793
17	906	976	399	387,3387236568	240	240,3387236568	60	59	132	133	48	48,3387236568004
18	913	919	372	369,660586237506	211	210,660586237506	43	43,0002696465995	121	119,999045590178	47	47,6612710007286
19	913	1093	650	641,145316221414	440	437,145316221414	99	96,0041616236252	263	262,133731386376	78	79,0074232114129
20	919	943	446	443,66243206922	330	329,66243206922	79	79,0010478609257	180	179,000107864848	71	71,6612763434466
21	922	913	616	612,425034997714	377	376,425034997714	79	79,0044105934809	218	216,732622323846	80	80,6880020803876
22	922	946	588	581,563946773656	390	391,563946773656	97	98,0084145047923	230	229,166849766997	63	64,3886825018664
23	924	906	604	594,857385980127	415	415,857385980128	110	109,000394546176	231	232,517819720272	74	74,3391717136795
24	939	913	485	475,380867461206	307	304,380867461206	73	70,0000206767438	182	181,400154652708	52	52,9806921317538
25	939	946	605	602,138950588142	298	301,138950588142	89	92,0014217303578	161	161,117772932412	48	48,0197559253724
26	943	939	457	451,00115572602	259	259,001155726021	69	69,0010478609257	138	138,000107864848	52	52,000000000247
27	943	976	383	369,661276343199	255	254,6612763432	57	57	142	141	56	56,6612763431996
28	946	924	458	449,341864650742	253	253,341864650742	68	67,9994622834464	140	139,003129959314	45	46,3392724079809
29	946	534	666	666,361032711056	396	400,361032711056	113	117,010373951704	224	224,281492740095	59	59,0691660192578
30	1044	1088	659	655,225675162056	424	428,225675162056	108	111,011425245452	236	237,166028355061	80	80,0482215615434
31	1044	1169	483	478,992899201388	290	290,992899201388	97	96,9977972287899	141	139,995328109476	52	53,9997738631222
32	1054	1044	634	636,042793647249	426	431,042793647249	121	123,99798021457	233	233,039473701135	72	74,0053397315441
33	1054	1142	555	550,469872601804	353	353,469872601805	71	70,6650476515271	223	221,797722418752	59	61,0071025315253
34	1067	922	666	656,276343631088	432	431,276343631088	119	119,00983745583	237	237,213914072452	76	75,0525921028071
35	1067	1054	588	584,062892844032	406	408,062892844032	83	83,0024753420767	250	249,060008748267	73	76,0004087536884
36	1075	919	508	506,001845831714	318	318,001845831714	101	101,000778214326	156	156,00106227467	61	61,000005342718
37	1075	1093	500	493,004412182049	304	305,004412182049	61	60,9999561894358	196	195,004455986754	47	49,0000000058591
