MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 4; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 0; 0; 0,999991971906754; 0,999991971906754; 1; 0; 1; 0
35; 2; 0; 0; 1; 1; 1; 0; 1; 0
37; 2; 0; 0; 1; 1; 1; 0; 1; 0
40; 2; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 0,999988942467745; 0,999988942467745; 1; 0; 1; 0
54; 2; 0; 0; 1; 1; 1; 0; 1; 0
65; 4; 0; 0; 0,99999755149373; 0,99999755149373; 1; 0; 1; 0
68; 2; 0; 0; 1; 1; 1; 0; 1; 0
69; 16; 0; 0; 1; 1; 1; 0; 1; 0
74; 12; 0; 0; 1; 1; 1; 0; 1; 0
77; 2; 0; 0; 0,999996733833475; 0,999996733833475; 1; 0; 1; 0
78; 2; 0; 0; 1; 1; 1; 0; 1; 0
89; 2; 0; 0; 0,999998971977512; 0,999998971977512; 1; 0; 1; 0
92; 4; 0; 0; 0,999994019837582; 0,999994019837582; 1; 0; 1; 0
98; 2; 0; 0; 1; 1; 1; 0; 1; 0
106; 2; 0; 0; 1; 1; 1; 0; 1; 0
108; 2; 0; 0; 1; 1; 1; 0; 1; 0
113; 10; 0; 0; 0,999998370588005; 0,999998370588005; 1; 0; 1; 0
117; 18; 0; 0; 0,999836992557022; 0,999836992557022; 1; 0; 1; 0
133; 2; 0; 0; 1; 1; 1; 0; 1; 0
138; 10; 0; 0; 1; 1; 1; 0; 1; 0
144; 2; 0; 0; 1; 1; 1; 0; 1; 0
146; 16; 0; 0; 1; 1; 1; 0; 1; 0
147; 2; 0; 0; 1; 1; 1; 0; 1; 0
148; 15; 0; 0; 1; 1; 1; 0; 1; 0
158; 13; 0; 0; 1; 1; 1; 0; 1; 0
159; 4; 0; 0; 1; 1; 1; 0; 1; 0
164; 4; 0; 0; 1; 1; 1; 0; 1; 0
170; 2; 0; 0; 1; 1; 1; 0; 1; 0
172; 36; 0; 0; 0,999846206925606; 0,999846206925606; 1; 0; 1; 0
176; 12; 0; 0; 1; 1; 1; 0; 1; 0
179; 4; 0; 0; 1; 1; 1; 0; 1; 0
180; 36; 0; 0; 0,999951395032852; 0,999951395032852; 1; 0; 1; 0
191; 10; 0; 0; 0,999892909824656; 0,999892909824656; 1; 0; 1; 0
197; 2; 0; 0; 1; 1; 1; 0; 1; 0
198; 2; 0; 0; 1; 1; 1; 0; 1; 0
199; 2; 0; 0; 0,999998460855783; 0,999998460855783; 1; 0; 1; 0
203; 2; 0; 0; 0,999995829595079; 0,999995829595079; 1; 0; 1; 0
207; 2; 0; 0; 1; 1; 1; 0; 1; 0
218; 2; 0; 0; 1; 1; 1; 0; 1; 0
223; 2; 0; 0; 0,999995816480064; 0,999995816480064; 1; 0; 1; 0
230; 2; 0; 0; 1; 1; 1; 0; 1; 0
231; 2; 0; 0; 1; 1; 1; 0; 1; 0
235; 20; 0; 0; 1; 1; 1; 0; 1; 0
240; 2; 0; 0; 1; 1; 1; 0; 1; 0
242; 2; 0; 0; 1; 1; 1; 0; 1; 0
244; 36; 0; 0; 0,999996058072078; 0,999996058072078; 1; 0; 1; 0
257; 2; 0; 0; 1; 1; 1; 0; 1; 0
263; 2; 0; 0; 0,999996118171846; 0,999996118171846; 1; 0; 1; 0
273; 2; 0; 0; 1; 1; 1; 0; 1; 0
281; 19; 0; 0; 1; 1; 1; 0; 1; 0
286; 20; 0; 0; 0,999998793644578; 0,999998793644578; 1; 0; 1; 0
295; 2; 0; 0; 1; 1; 1; 0; 1; 0
302; 16; 0; 0; 1; 1; 1; 0; 1; 0
321; 10; 0; 0; 0,999988237935985; 0,999988237935985; 1; 0; 1; 0
324; 10; 0; 0; 1; 1; 1; 0; 1; 0
329; 10; 0; 0; 0,998191734096448; 0,998191734096448; 1; 0; 1; 0
332; 4; 0; 0; 1; 1; 1; 0; 1; 0
333; 2; 0; 0; 1; 1; 1; 0; 1; 0
336; 2; 0; 0; 1; 1; 1; 0; 1; 0
340; 16; 0; 0; 1; 1; 1; 0; 1; 0
341; 2; 0; 0; 1; 1; 1; 0; 1; 0
350; 2; 0; 0; 1; 1; 1; 0; 1; 0
351; 26; 0; 0; 0,987753646411118; 0,987753646411118; 1; 0; 1; 0
352; 16; 0; 0; 1; 1; 1; 0; 1; 0
358; 2; 0; 0; 1; 1; 1; 0; 1; 0
362; 8; 0; 0; 1; 1; 1; 0; 1; 0
363; 10; 0; 0; 1; 1; 1; 0; 1; 0
365; 16; 0; 0; 1; 1; 1; 0; 1; 0
368; 10; 0; 0; 1; 1; 1; 0; 1; 0
372; 4; 0; 0; 1; 1; 1; 0; 1; 0
377; 4; 0; 0; 0,999993561989174; 0,999993561989174; 1; 0; 1; 0
379; 32; 0; 0; 1; 1; 1; 0; 1; 0
380; 2; 0; 0; 1; 1; 1; 0; 1; 0
386; 10; 0; 0; 1; 1; 1; 0; 1; 0
400; 2; 0; 0; 1; 1; 1; 0; 1; 0
402; 20; 0; 0; 0,999983664628683; 0,999983664628683; 1; 0; 1; 0
408; 32; 0; 0; 1; 1; 1; 0; 1; 0
412; 2; 0; 0; 1; 1; 1; 0; 1; 0
416; 32; 0; 0; 1; 1; 1; 0; 1; 0
418; 18; 0; 0; 1; 1; 1; 0; 1; 0
428; 2; 0; 0; 0,999986854205248; 0,999986854205248; 1; 0; 1; 0
429; 16; 0; 0; 1; 1; 1; 0; 1; 0
434; 2; 0; 0; 1; 1; 1; 0; 1; 0
439; 10; 0; 0; 1; 1; 1; 0; 1; 0
441; 10; 0; 0; 1; 1; 1; 0; 1; 0
443; 4; 0; 0; 0,999990399045459; 0,999990399045459; 1; 0; 1; 0
445; 2; 0; 0; 1; 1; 1; 0; 1; 0
454; 32; 0; 0; 1; 1; 1; 0; 1; 0
463; 10; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 0; 0; 1; 1; 1; 0; 1; 0
473; 2; 0; 0; 1; 1; 1; 0; 1; 0
482; 4; 0; 0; 1; 1; 1; 0; 1; 0
484; 4; 0; 0; 1; 1; 1; 0; 1; 0
493; 2; 0; 0; 1; 1; 1; 0; 1; 0
495; 24; 0; 0; 0,999911897324362; 0,999911897324362; 1; 0; 1; 0
498; 2; 0; 0; 1; 1; 1; 0; 1; 0
524; 2; 0; 0; 1; 1; 1; 0; 1; 0
528; 18; 2; 0; 0,991859399196711; 0; 1; 0; 1; 0
543; 2; 0; 0; 1; 1; 1; 0; 1; 0
546; 2; 0; 0; 1; 1; 1; 0; 1; 0
556; 16; 0; 0; 1; 1; 1; 0; 1; 0
558; 2; 0; 0; 1; 1; 1; 0; 1; 0
562; 10; 0; 0; 1; 1; 1; 0; 1; 0
565; 16; 0; 0; 1; 1; 1; 0; 1; 0
570; 10; 0; 0; 1; 1; 1; 0; 1; 0
574; 32; 0; 0; 1; 1; 1; 0; 1; 0
576; 18; 0; 0; 1; 1; 1; 0; 1; 0
583; 2; 0; 0; 1; 1; 1; 0; 1; 0
591; 2; 0; 0; 1; 1; 1; 0; 1; 0
597; 2; 0; 0; 1; 1; 1; 0; 1; 0
602; 2; 0; 0; 1; 1; 1; 0; 1; 0
608; 2; 0; 0; 1; 1; 1; 0; 1; 0
610; 4; 0; 0; 0,999997910268649; 0,999997910268649; 1; 0; 1; 0
615; 2; 0; 0; 1; 1; 1; 0; 1; 0
616; 2; 0; 0; 0,999996653528671; 0,999996653528671; 1; 0; 1; 0
620; 24; 0; 0; 0,999840622170787; 0,999840622170787; 1; 0; 1; 0
621; 2; 0; 0; 0,999996653528671; 0,999996653528671; 1; 0; 1; 0
629; 2; 0; 0; 1; 1; 1; 0; 1; 0
630; 10; 0; 0; 0,999938735962837; 0,999938735962837; 1; 0; 1; 0
632; 2; 0; 0; 1; 1; 1; 0; 1; 0
647; 15; 0; 0; 1; 1; 1; 0; 1; 0
648; 2; 0; 0; 1; 1; 1; 0; 1; 0
651; 2; 0; 0; 1; 1; 1; 0; 1; 0
652; 20; 0; 0; 1; 1; 1; 0; 1; 0
665; 2; 0; 0; 1; 1; 1; 0; 1; 0
666; 2; 0; 0; 1; 1; 1; 0; 1; 0
673; 4; 0; 0; 1; 1; 1; 0; 1; 0
