
Scenario Summaries

Total of vehicles entered: 5097
Total of vehicles detected: 5097

SECTIONS
Total inferences: 1260
FPR:  914
FPR2: 915
ER:   1057,7604348363
CR:   278,40198788435
FPR RATIO:   0,725396825396825
FPR2 RATIO:   0,726190476190476

TRIPS
Total inferences: 1209
FPR:  918
FPR2: 986
ER:   1007,81133967815
CR:   256,624879433104
FPR RATIO:   0,759305210918114
FPR2 RATIO:   0,815550041356493

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	384	133,139034514215	101	83,1390345142145	38	23,8510293008283	50	48,6429874676025	13	10,6450177457837
1	509	539	280	166,860965485786	81	98,8609654857854	18	33,1489706991717	47	47,3570125323975	16	18,3549822542163
2	519	529	199	99,848724057009	21	16,848724057009	6	3,29254328573508	13	10,6952055117905	2	2,86097525948339
3	519	549	344	187,589700930715	130	120,589700930715	37	28,175661794448	77	79,1385615086765	16	13,2754776275904
4	519	906	247	80,3111490346897	53	57,3111490346897	21	17,7388222031062	22	26,3793313170567	10	13,1929955145268
5	529	519	128	92,610539508199	35	43,6105395081989	13	12,3559979824609	15	21,5701108699211	7	9,68443065581688
6	529	539	66	35,2688296726126	17	22,2688296726126	2	3,04357829265344	12	14,9372661282676	3	4,28798525169156
7	539	529	101	58,5077164251986	2	8,50771642519859	1	3,94845245250063	1	3,77207007437917	0	0,78719389831879
8	539	549	281	147,346449954662	105	99,3464499546623	27	30,6413267812462	54	46,3162659018356	24	22,3888572715806
9	539	1114	222	143,275628778537	74	96,2756287785374	17	26,6027697580783	42	51,2059426844503	15	18,4669163360085
10	549	913	316	157,190175578243	120	118,190175578244	34	30,8194972078515	62	69,0014878495204	24	18,3691905208717
11	549	946	133	91,0200265514888	57	53,0200265514889	8	9,11268704687923	30	26,2727812038621	19	17,6345583007475
12	549	1044	344	185,787239955391	151	147,787239955391	39	42,9720204169355	90	72,2514930065992	22	32,5637265318561
13	549	1142	160	111,217738139794	54	49,2177381397939	15	13,2121035698495	30	26,0704846467061	9	9,93514992323826
14	906	913	240	113,83203607212	76	81,8320360721199	25	23,1042268646231	35	39,6374771163278	16	19,0903320911689
15	906	946	155	63,8375118402425	20	20,8375118402424	4	3,66254628373918	13	11,2282216541345	3	5,94674390236879
16	913	943	85	32,0434390218033	18	24,0434390218033	5	5,01830337033193	5	11,4712868862757	8	7,55384876519567
17	913	1067	129	108,159329316101	44	62,1593293161012	11	14,3538415281654	27	40,6274605434744	6	7,17802724446138
18	913	1100	330	178,2840978771	130	120,2840978771	42	32,7198692471713	58	60,3027173171356	30	27,2615113127928
19	943	913	117	92,5387713445407	18	31,5387713445406	1	3,51332598597713	14	23,1863941193048	3	4,8390512392587
20	943	946	272	140,603800731089	72	72,6038007310886	16	18,9532313396316	34	30,4858630414973	22	23,1647063499597
