MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 2; 1; 0; 0,586530506999222; 0,413469493000778; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 10; 0; 0; 0,99992990247133; 0,99992990247133; 1; 0; 1; 0
68; 19; 0; 0; 1; 1; 1; 0; 1; 0
70; 16; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 0,981138032334484; 0,981138032334484; 1; 0; 1; 0
98; 2; 0; 1; 1; 0; 0; 1; 0; 1
113; 10; 0; 0; 1; 1; 1; 0; 1; 0
158; 2; 1; 0; 0,794473717657268; 0,205526282342732; 1; 0; 1; 0
176; 10; 2; 0; 0,597729306214135; 0,0880831637667212; 1; 0; 1; 0
191; 10; 2; 0; 0,778869283156772; 0,0449485813434637; 1; 0; 1; 0
213; 2; 0; 1; 0,716941584001791; 0,283058415998209; 0; 0; 0,334384756660017; 0,665615243339983
231; 10; 0; 0; 0,988159041253463; 0,988159041253463; 1; 0; 1; 0
244; 10; 0; 0; 1; 1; 1; 0; 1; 0
273; 19; 0; 0; 0,990463743192778; 0,990463743192778; 1; 0; 1; 0
281; 11; 1; 1; 0,373525133849015; 0,373525133849015; 0; 0; 0,331599996738756; 0,668400003261244
302; 3; 1; 1; 1; 1; 0; 0; 0,334175033414952; 0,665824966585048
321; 170; 0; 0; 0,998712426988723; 0,998712426988723; 1; 0; 1; 0
340; 19; 0; 0; 1; 1; 1; 0; 1; 0
352; 10; 1; 1; 0,406660344106949; 0,406660344106949; 0; 1; 0; 1
358; 2; 1; 0; 0,763092870787489; 0,236907129212511; 1; 0; 1; 0
362; 2; 0; 1; 1; 0; 0; 1; 0; 1
363; 20; 10; 0; 0,0507429000082171; 0,0358848998438746; 1; 0; 1; 0
365; 21; 0; 0; 1; 1; 1; 0; 1; 0
379; 32; 16; 16; 0,664343060597795; 0,664343060597795; 0; 0; 0,499214513767447; 0,500785486232553
402; 16; 0; 0; 1; 1; 1; 0; 1; 0
412; 16; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 1; 1; 0,772753765068445; 0,772753765068445; 0; 1; 0; 1
498; 2; 0; 0; 0,600789819096152; 0,600789819096152; 1; 0; 1; 0
503; 2; 1; 1; 0,784372030384403; 0,784372030384403; 0; 0; 0,3333415426568; 0,6666584573432
510; 18; 0; 0; 0,999999707472609; 0,999999707472609; 1; 0; 1; 0
528; 20; 0; 0; 0,999969751521397; 0,999969751521397; 1; 0; 1; 0
543; 10; 0; 0; 1; 1; 1; 0; 1; 0
546; 18; 0; 0; 0,999969668612969; 0,999969668612969; 1; 0; 1; 0
555; 2; 0; 0; 0,963993325450964; 0,963993325450964; 1; 0; 1; 0
615; 2; 0; 0; 1; 1; 1; 0; 1; 0
620; 3; 1; 2; 0,674663611188739; 0,1785968253748; 0; 0; 0,249836158183357; 0,750163841816643
630; 160; 0; 0; 1; 1; 1; 0; 1; 0
647; 2; 0; 0; 1; 1; 1; 0; 1; 0
671; 2; 0; 1; 0,661654498098793; 0,338345501901207; 0; 0; 0,33232712869403; 0,66767287130597
673; 11; 2; 0; 0,941093598826562; 0,0434671629431787; 1; 0; 1; 0
679; 32; 0; 0; 1; 1; 1; 0; 1; 0
692; 19; 1; 0; 0,522845134807539; 0,113165166624052; 1; 0; 1; 0
718; 2; 0; 0; 1; 1; 1; 0; 1; 0
730; 10; 0; 0; 0,999989979670591; 0,999989979670591; 1; 0; 1; 0
794; 11; 2; 0; 0,60154853098412; 0,178987091285991; 1; 0; 1; 0
825; 19; 0; 0; 1; 1; 1; 0; 1; 0
827; 10; 5; 0; 0,105253661856762; 0,0527170432891406; 1; 0; 1; 0
828; 22; 14; 0; 0,0520831913506653; 0,0208090579821423; 1; 0; 1; 0
830; 16; 0; 0; 1; 1; 1; 0; 1; 0
844; 19; 0; 0; 1; 1; 1; 0; 1; 0
881; 3; 1; 2; 0,737974770096749; 0,153187673339849; 0; 0; 0,249836158183357; 0,750163841816643
882; 2; 0; 1; 0,705145466969331; 0,294854533030669; 0; 1; 0; 1
919; 10; 0; 0; 1; 1; 1; 0; 1; 0
923; 2; 0; 0; 0,541845409927086; 0,541845409927086; 1; 0; 1; 0
935; 2; 0; 0; 1; 1; 1; 0; 1; 0
987; 11; 2; 0; 0,483896782460508; 0,218482581006975; 1; 0; 1; 0
991; 19; 0; 0; 1; 1; 1; 0; 1; 0
1007; 20; 0; 0; 1; 1; 1; 0; 1; 0
1015; 13; 0; 0; 1; 1; 1; 0; 1; 0
1018; 3; 0; 0; 0,999141354483233; 0,999141354483233; 1; 0; 1; 0
1051; 2; 1; 1; 0,794756987987639; 0,794756987987639; 0; 1; 0; 1
1092; 2; 0; 0; 0,535253757847886; 0,535253757847886; 1; 0; 1; 0
1093; 16; 0; 0; 1; 1; 1; 0; 1; 0
1098; 10; 0; 0; 1; 1; 1; 0; 1; 0
1102; 16; 0; 0; 1; 1; 1; 0; 1; 0
1111; 10; 1; 2; 0,400361266282829; 0,342850217301893; 0; 0; 0,499619597261387; 0,500380402738613
1127; 16; 0; 0; 1; 1; 1; 0; 1; 0
1138; 10; 1; 1; 0,46577064423037; 0,46577064423037; 0; 0; 0,33232712869403; 0,66767287130597
1155; 2; 1; 0; 0,718255860497377; 0,281744139502623; 1; 0; 1; 0
1183; 2; 0; 1; 0,658085673613727; 0,341914326386273; 0; 0; 0,332132797202093; 0,667867202797907
1224; 2; 1; 0; 0,514169225642952; 0,485830774357048; 1; 0; 1; 0
1250; 20; 0; 0; 1; 1; 1; 0; 1; 0
1267; 20; 0; 0; 1; 1; 1; 0; 1; 0
1271; 2; 0; 0; 1; 1; 1; 0; 1; 0
1273; 19; 0; 0; 0,999968258284939; 0,999968258284939; 1; 0; 1; 0
1281; 19; 0; 0; 0,999986526011135; 0,999986526011135; 1; 0; 1; 0
1315; 20; 0; 0; 1; 1; 1; 0; 1; 0
