
Scenario Summaries

Total of vehicles entered: 5461
Total of vehicles detected: 5461

SECTIONS
Total inferences: 1412
FPR:  1123
FPR2: 1130
ER:   1386,07198142415
CR:   293,663341236506
FPR RATIO:   0,795325779036827
FPR2 RATIO:   0,80028328611898

TRIPS
Total inferences: 1342
FPR:  1060
FPR2: 1146
ER:   1316,07198142415
CR:   265,313716451563
FPR RATIO:   0,789865871833085
FPR2 RATIO:   0,853949329359165

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	416	187	117	101	41	34	59	52	17	15
1	509	539	282	192	89	105	21	28	48	55	20	22
2	519	529	205	123,5	16	10,5	5	3	9	5,5	2	2
3	519	549	358	232,910410216718	155	148,910410216718	45	37	87	85,1677631578947	23	26,7426470588235
4	519	906	270	102,105147058824	62	61,1051470588235	20	22,2	28	26,125	14	12,7801470588235
5	529	519	128	90,5155572755418	32	35,5155572755418	10	9,2	11	12,7927631578947	11	13,5227941176471
6	529	539	72	27,4881965944272	21	17,4881965944272	5	5	13	8,94407894736842	3	3,54411764705882
7	539	529	102	61,5	0	4,5	0	2	0	2,5	0	0
8	539	549	285	196,774380804954	100	99,7743808049536	22	22	53	52,2927631578947	25	25,4816176470588
9	539	1114	226	144,213815789474	75	83,2138157894737	16	22	42	43,1513157894737	17	18,0625
10	549	913	320	209,893421052632	139	134,893421052632	37	28,5	73	78,2434210526316	29	28,15
11	549	946	131	94,6907894736842	49	44,6907894736842	5	6,1	26	22,4407894736842	18	16,15
12	549	1044	361	232,36052631579	170	165,36052631579	48	49,1	92	80,2105263157895	30	36,05
13	549	1142	169	136,871710526316	55	56,8717105263158	17	15	32	35,8717105263158	6	6
14	906	913	277	155,678560371517	101	103,678560371517	29	32,7	51	50,6447368421053	21	20,3338235294118
15	906	946	165	84,3548761609908	28	28,3548761609907	6	6	18	18,2960526315789	4	4,05882352941176
16	913	943	94	50,1673761609907	31	33,1673761609907	6	6	13	15,1085526315789	12	12,0588235294118
17	913	1067	140	114,953560371517	64	64,9535603715171	13	13	39	40,3947368421053	12	11,5588235294118
18	913	1100	352	239,128289473684	154	150,128289473684	46	41	75	78,8782894736842	33	30,25
19	943	913	113	92,3328947368421	21	29,3328947368421	1	4,2	16	20,4078947368421	4	4,725
20	943	946	285	191,577244582043	92	96,5772445820434	27	26,6	45	47,1600877192983	20	22,8171568627451
21	946	906	210	185,928289473684	119	122,928289473684	34	36,5	57	57,8157894736842	28	28,6125
22	946	529	265	134,317376160991	80	78,3173761609907	18	17,1	48	44,796052631579	14	16,4213235294118
23	946	549	204	149,424767801858	93	87,4247678018576	27	25,2	48	45,6644736842106	18	16,5602941176471
24	1044	1067	195	168,570433436533	84	84,5704334365325	21	20,4	42	42,2138157894737	21	21,9566176470588
25	1044	1100	275	180,974767801858	108	116,974767801858	21	26,2	70	68,0394736842106	17	22,7352941176471
26	1044	1201	228	146,985023219814	98	91,9850232198143	37	33	40	38,546052631579	21	20,4389705882353
27	1067	913	183	137,344349845201	66	58,3443498452012	19	15,6	25	22,0855263157895	22	20,6588235294118
28	1067	946	356	237,047523219814	169	165,047523219814	45	44,1	93	90,3793859649123	31	30,568137254902
29	1067	1044	179	110,041447368421	84	75,0414473684211	25	21,1	37	35,8289473684211	22	18,1125
30	1067	1142	283	191,086609907121	115	122,086609907121	17	24,4	71	72,1513157894737	27	25,5352941176471
31	1075	943	243	151,742763157895	68	78,7427631578948	19	21,8	41	44,4594298245614	8	12,4833333333333
32	1075	1067	355	215,129218266254	151	137,129218266254	30	30	88	81,3245614035088	33	25,8046568627451
33	1075	1100	108	75,5	6	16,5	1	3	5	9,5	0	4
34	1100	1075	130	85,8719814241486	48	48,8719814241486	6	6,8	34	34,4506578947368	8	7,62132352941176
35	1100	1176	172	146,631075851393	92	104,631075851393	30	33	45	51,9671052631579	17	19,6639705882353
36	1114	1044	273	186,520356037152	98	110,520356037152	26	28,1	48	56,6644736842105	24	25,7558823529412
37	1114	1142	145	92,7743808049536	32	36,7743808049536	4	7	24	26,4177631578947	4	3,35661764705882
38	1142	529	258	162,686377708978	108	110,686377708978	27	27,1	53	53,9407894736842	28	29,6455882352941
39	1142	549	180	140,706888544892	73	73,7068885448917	4	6,5	46	44,641447368421	23	22,5654411764706
40	1142	1114	118	85,0809210526316	45	54,0809210526316	12	12,1	18	26,9309210526316	15	15,05
41	1176	1067	348	212,866718266254	149	147,866718266254	42	41,8	70	69,5120614035088	37	36,5546568627451
42	1176	1100	150	101,9	24	21,9	3	3,6	15	14	6	4,3
43	1176	1201	205	119,364357585139	63	72,3643575851393	24	22,6	29	33,6217105263158	10	16,1426470588235
44	1189	1075	299	187,5	95	101,5	25	29	51	51,8333333333334	19	20,6666666666667
45	1189	1176	313	190,5	104	97,5	32	28	50	49,1666666666667	22	20,3333333333333
46	1201	1044	136	99,6078947368421	27	31,6078947368421	7	8,3	15	15,0953947368421	5	8,2125
47	1201	1142	288	175,741486068112	104	102,741486068111	24	18,3	51	53,0723684210526	29	31,3691176470588
Thanks for chose TyggerSoftware Inc. 2017
