
Scenario Summaries

Total of vehicles entered: 5384
Total of vehicles detected: 5384

SECTIONS
Total inferences: 2355
FPR:  2025
FPR2: 2025
ER:   2255,18857060887
CR:   584,235851388037
FPR RATIO:   0,859872611464968
FPR2 RATIO:   0,859872611464968

TRIPS
Total inferences: 2040
FPR:  1781
FPR2: 1836
ER:   1940,18862923455
CR:   440,739072036043
FPR RATIO:   0,873039215686275
FPR2 RATIO:   0,9

FLOWS
Link	Tail	Head	RealAll	EstAll	RealInfer	EstInfer	ReInf1	Estinf1	ReInf2	Estinf2	ReInf3	Estinf3
0	509	519	355	181,515795490913	154	147,515795490913	52	53,3714246694215	83	78,6125336528518	19	15,53183716864
1	509	539	235	162,484204509087	95	101,484204509087	22	23,6285753305785	55	56,3874663471482	18	21,46816283136
2	519	534	506	359,466841782021	254	257,46684178202	69	71,8176151168847	147	145,88940265614	38	39,759824008995
3	519	906	277	123,788902471608	104	106,788902471608	39	39,588333863613	48	48,9805576647952	17	18,2200109431997
4	529	519	135	104,739948762715	58	70,7399487627147	19	21,0345243110762	25	30,2574266680837	14	19,4479977835548
5	529	539	80	44,8929091687231	46	33,8929091687231	11	12,6670698311658	26	15,5534500684778	9	5,67238926907951
6	534	529	423	239,109879435567	162	149,109879435567	40	45,4433938351444	91	77,984924919574	31	25,6815606808491
7	534	922	189	157,271180855933	110	119,271180855933	25	25,3259786419151	61	68,0542704148047	24	25,8909317992134
8	534	1054	337	234,262061250141	206	206,262061250141	67	61,750884324743	115	109,896810656747	24	34,6143662686507
9	539	544	387	271,591001767218	166	174,591001767218	41	45,4765059370033	93	96,8227631128742	32	32,2917327173402
10	539	1124	330	206,786111910592	138	123,786111910592	40	39,8191392247409	68	55,1181533027517	30	28,8488193830993
11	544	529	341	222,52297849587	139	152,52297849587	42	43,2582003070976	73	77,8259518169876	24	31,4388263717851
12	544	922	292	204,494999025272	161	158,494999025271	37	34,595463301562	80	81,8279444993436	44	42,0715912243661
13	544	1054	165	132,746957793523	84	90,7469577935229	14	19,3363386242643	48	47,3950520937218	22	24,0155670755368
14	906	939	375	191,113541403869	148	150,113541403869	45	46,4128452953283	75	72,862508291871	28	30,8381878166695
15	906	976	316	143,06794678592	68	89,0679467859202	19	24,1772348635477	35	44,2155038779608	14	20,6752080444117
16	913	943	104	60,3641891528225	72	54,3641891528225	26	20,8321163050419	21	14,9320997778391	25	18,5999730699414
17	913	922	7	11,3160223255275	2	9,31602232552746	0	1,74911659039176	0	2,55211719078614	2	5,01478854434957
18	913	1054	114	85,7030211906028	61	70,7030211906029	16	21,6109881054583	30	34,6005021309524	15	14,4915309541923
19	913	1100	327	258,79491888465	208	216,79491888465	71	71,1942804407598	91	96,8522822657549	46	48,7483561781356
20	922	913	479	357,960403516017	292	285,960403516017	86	81,858944123114	135	140,170629700614	71	63,9308296922885
21	922	906	161	145,314492906809	103	121,314492906809	30	35,8745625578113	46	52,4408987000328	27	32,9990316489653
22	922	534	171	133,078188110334	101	104,078188110334	21	25,5912457272395	53	48,4745420608508	27	30,0124003222439
23	939	913	383	267,217748037586	176	190,217748037586	43	49,5275573185377	95	96,7663716647186	38	43,9238190543303
24	939	906	38	29,0780928113716	10	12,0780928113715	2	3,1271837374516	7	6,65655580500381	1	2,29435326891614
25	939	534	348	214,098091649287	168	158,098091649287	49	44,1113959576783	89	84,5720612741346	30	29,4146344174744
26	943	939	390	269,280391094377	160	164,280391094376	39	40,3532917183393	86	88,1324804519859	35	35,7946189240513
27	943	976	284	165,93205321408	125	103,93205321408	36	29,8227651364523	57	46,7844961220392	32	27,3247919555884
28	1044	1088	526	439,665299631458	374	377,665299631457	87	96,0514108341113	212	199,332010810568	75	82,2818779867785
29	1044	1201	199	140,134876962078	105	106,134876962078	42	41,5323192504123	42	41,687823230995	21	22,9147344806705
30	1054	1044	503	377,594864713542	308	310,594864713542	90	94,2278246201057	162	151,827531209621	56	64,5395088838155
31	1054	544	148	106,442921554138	85	86,4429215541377	25	24,1505194248141	43	40,6443799369404	17	21,6480221923831
32	1054	1124	195	102,865042635536	56	79,8650426355359	13	15,8796014639775	30	47,1677421567159	13	16,8176990148425
33	1075	943	223	164,848255155634	115	115,848255155634	28	27,3439405497496	69	67,984876796186	18	20,5194378096983
34	1075	922	117	95,0677898601239	44	51,067789860124	6	8,0475962030383	30	30,8813683840464	8	12,1388252730393
35	1075	1054	201	122,035089408536	98	97,0350894085362	25	25,5447704530094	53	53,4069993758948	20	18,083319579632
36	1075	1100	85	59,8910964082483	1	4,89109640824833	0	2,32807642020551	1	2,25531832614772	0	0,307701661895099
37	1088	922	387	268,203092466304	247	241,203092466303	65	70,6065976712577	120	114,770369972517	62	55,8261248225294
38	1088	1054	125	108,155699260413	72	84,1556992604129	16	17,0149640014222	37	41,3402890459613	19	25,8004462130294
39	1088	1100	402	302,487576697679	235	234,487576697678	48	48,5482760901846	150	141,807667014067	37	44,1316335934269
40	1100	1107	351	270,7804640006	186	188,780464000599	43	43,0740402752017	107	105,656156677742	36	40,0502670476554
41	1100	1176	149	123,393127989977	80	89,3931279899775	28	30,9965926759481	37	41,2591109282271	15	17,1374243858022
42	1107	1075	378	290,842230832543	226	236,842230832543	58	61,2643836260029	126	129,528562882275	42	46,0492843242648
43	1114	1133	425	290,178504260744	214	218,178504260744	48	51,3766260365853	109	109,341664982699	57	57,460213241459
44	1124	1114	292	201,178504260744	153	157,178504260743	42	44,3766260365853	69	70,3416649826993	42	42,4602132414589
45	1133	1044	448	345,205311879993	266	268,205311879993	60	64,355905464418	141	137,192302831942	65	66,6571035836335
46	1133	544	289	206,731011993309	143	150,731011993309	29	29,5629768711065	72	76,5818053602383	42	44,5862297619646
47	1133	1124	163	114,527349714616	71	65,5273497146157	18	17,6778853478669	36	30,0557695232317	17	17,7936948435171
48	1176	1088	480	331,181068792938	243	245,181068792937	67	68,1184269287531	124	124,586315221977	52	52,4763266422072
49	1176	1201	172	83,150292365097	56	55,150292365097	18	18,6878223963939	31	26,8003895017175	7	9,66208046698567
50	1189	1107	283	188,061766831943	127	135,061766831943	33	36,1903433508012	70	74,8724062045324	24	23,9990172766094
51	1189	1176	258	159,938233168057	115	106,938233168057	35	32,8096566491988	55	49,1275937954675	25	25,0009827233906
52	1201	1133	361	261,285169327175	192	192,285169327175	52	53,2201416468062	93	87,4882127327126	47	51,5768149476562
Thanks for chose TyggerSoftware Inc. 2017
