MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
4; 2; 0; 0; 1; 1; 1; 0; 1; 0
7; 2; 0; 0; 1; 1; 1; 0; 1; 0
21; 2; 0; 0; 1; 1; 1; 0; 1; 0
22; 2; 0; 0; 1; 1; 1; 0; 1; 0
32; 10; 4; 0; 0,108428481214891; 0,0241436690659847; 1; 0; 1; 0
37; 2; 0; 0; 1; 1; 1; 0; 1; 0
40; 10; 0; 0; 1; 1; 1; 0; 1; 0
46; 10; 0; 0; 1; 1; 1; 0; 1; 0
47; 36; 0; 0; 1; 1; 1; 0; 1; 0
54; 2; 0; 0; 1; 1; 1; 0; 1; 0
64; 16; 0; 0; 1; 1; 1; 0; 1; 0
66; 2; 0; 0; 1; 1; 1; 0; 1; 0
68; 2; 1; 0; 0,665468180691573; 0,334531819308427; 1; 0; 1; 0
70; 20; 4; 0; 0,10690333673074; 0,0378699694233377; 1; 0; 1; 0
71; 36; 0; 0; 1; 1; 1; 0; 1; 0
74; 19; 0; 0; 1; 1; 1; 0; 1; 0
77; 4; 0; 0; 1; 1; 1; 0; 1; 0
86; 20; 0; 0; 1; 1; 1; 0; 1; 0
89; 2; 0; 0; 1; 1; 1; 0; 1; 0
92; 4; 0; 0; 1; 1; 1; 0; 1; 0
98; 19; 0; 0; 1; 1; 1; 0; 1; 0
106; 2; 0; 0; 1; 1; 1; 0; 1; 0
109; 19; 0; 0; 1; 1; 1; 0; 1; 0
113; 20; 0; 0; 1; 1; 1; 0; 1; 0
117; 18; 8; 0; 0,0579633835615545; 0,0146224794535741; 1; 0; 1; 0
128; 36; 0; 0; 1; 1; 1; 0; 1; 0
144; 20; 0; 0; 1; 1; 1; 0; 1; 0
158; 23; 2; 2; 0,51940437069125; 0,51940437069125; 0; 1; 0; 1
159; 4; 0; 0; 1; 1; 1; 0; 1; 0
164; 2; 0; 0; 1; 1; 1; 0; 1; 0
176; 240; 0; 0; 1; 1; 1; 0; 1; 0
191; 11; 0; 0; 1; 1; 1; 0; 1; 0
192; 2; 0; 0; 1; 1; 1; 0; 1; 0
198; 20; 0; 0; 1; 1; 1; 0; 1; 0
213; 38; 0; 0; 1; 1; 1; 0; 1; 0
230; 10; 0; 0; 1; 1; 1; 0; 1; 0
231; 2; 0; 0; 1; 1; 1; 0; 1; 0
235; 36; 16; 0; 0,0576222005227553; 0,0204225911131598; 1; 0; 1; 0
238; 2; 0; 0; 1; 1; 1; 0; 1; 0
242; 10; 0; 0; 1; 1; 1; 0; 1; 0
244; 2; 1; 0; 0,518620140761364; 0,481379859238636; 1; 0; 1; 0
257; 2; 0; 0; 1; 1; 1; 0; 1; 0
263; 2; 0; 0; 1; 1; 1; 0; 1; 0
268; 36; 0; 0; 1; 1; 1; 0; 1; 0
273; 2; 0; 0; 1; 1; 1; 0; 1; 0
277; 20; 0; 0; 1; 1; 1; 0; 1; 0
281; 38; 0; 0; 0,999998776482656; 0,999998776482656; 1; 0; 1; 0
301; 2; 0; 0; 1; 1; 1; 0; 1; 0
302; 18; 8; 0; 0,0576222005227553; 0,0204225911131598; 1; 0; 1; 0
304; 3; 0; 0; 1; 1; 1; 0; 1; 0
321; 20; 8; 0; 0,108428481214891; 0,0241436690659847; 1; 0; 1; 0
322; 4; 0; 0; 1; 1; 1; 0; 1; 0
332; 4; 1; 0; 0,747135307359833; 0,252864692640166; 1; 0; 1; 0
333; 2; 0; 0; 1; 1; 1; 0; 1; 0
336; 2; 1; 0; 0,665468180691573; 0,334531819308427; 1; 0; 1; 0
340; 10; 0; 0; 1; 1; 1; 0; 1; 0
341; 2; 1; 0; 0,585147679653308; 0,414852320346692; 1; 0; 1; 0
352; 19; 0; 0; 1; 1; 1; 0; 1; 0
358; 18; 0; 0; 1; 1; 1; 0; 1; 0
362; 6; 0; 0; 1; 1; 1; 0; 1; 0
363; 170; 0; 0; 1; 1; 1; 0; 1; 0
365; 13; 0; 0; 1; 1; 1; 0; 1; 0
371; 2; 0; 0; 1; 1; 1; 0; 1; 0
372; 25; 3; 0; 0,657795486478789; 0; 1; 0; 1; 0
377; 36; 0; 0; 1; 1; 1; 0; 1; 0
379; 150; 0; 0; 1; 1; 1; 0; 1; 0
380; 2; 0; 0; 1; 1; 1; 0; 1; 0
386; 72; 0; 0; 1; 1; 1; 0; 1; 0
396; 10; 0; 0; 1; 1; 1; 0; 1; 0
400; 2; 0; 1; 0,857999861816122; 0,142000138183878; 0; 0; 0,199505555358119; 0,800494444641881
402; 4; 3; 2; 0,432695401482426; 0,400950230948239; 0; 0; 0,555751978789724; 0,444248021210276
412; 2; 0; 0; 1; 1; 1; 0; 1; 0
416; 180; 0; 0; 1; 1; 1; 0; 1; 0
428; 18; 0; 0; 1; 1; 1; 0; 1; 0
429; 2; 0; 0; 1; 1; 1; 0; 1; 0
434; 2; 1; 0; 0,993252907677088; 0,00674709232291175; 1; 0; 1; 0
447; 10; 0; 0; 1; 1; 1; 0; 1; 0
454; 19; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 0; 0; 1; 1; 1; 0; 1; 0
473; 2; 1; 0; 0,792840228296574; 0,207159771703426; 1; 0; 1; 0
477; 612; 0; 0; 1; 1; 1; 0; 1; 0
493; 18; 0; 0; 1; 1; 1; 0; 1; 0
495; 48; 20; 0; 0,0422329238979877; 0,0286427503462822; 1; 0; 1; 0
498; 2; 0; 0; 1; 1; 1; 0; 1; 0
503; 2; 0; 0; 1; 1; 1; 0; 1; 0
510; 19; 0; 0; 1; 1; 1; 0; 1; 0
521; 10; 0; 0; 1; 1; 1; 0; 1; 0
528; 18; 9; 0; 0,0613221419509299; 0,00929266510327157; 1; 0; 1; 0
537; 38; 0; 0; 1; 1; 1; 0; 1; 0
541; 2; 0; 0; 1; 1; 1; 0; 1; 0
543; 2; 0; 0; 1; 1; 1; 0; 1; 0
546; 2; 1; 0; 0,668971464953856; 0,331028535046144; 1; 0; 1; 0
555; 2; 0; 0; 1; 1; 1; 0; 1; 0
556; 22; 0; 0; 1; 1; 1; 0; 1; 0
565; 16; 0; 0; 1; 1; 1; 0; 1; 0
570; 18; 8; 0; 0,0576222005227553; 0,0204225911131598; 1; 0; 1; 0
574; 10; 0; 0; 1; 1; 1; 0; 1; 0
576; 18; 8; 0; 0,0571815979231136; 0,0279128353070687; 1; 0; 1; 0
583; 2; 0; 0; 1; 1; 1; 0; 1; 0
