MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
21; 2; 0; 0; 0,998984629900532; 0,998984629900532; 1; 0; 1; 0
32; 10; 0; 0; 1; 1; 1; 0; 1; 0
54; 20; 0; 0; 1; 1; 1; 0; 1; 0
68; 3; 0; 0; 1; 1; 1; 0; 1; 0
69; 16; 0; 0; 1; 1; 1; 0; 1; 0
77; 16; 0; 0; 1; 1; 1; 0; 1; 0
113; 10; 0; 0; 1; 1; 1; 0; 1; 0
128; 8; 0; 0; 1; 1; 1; 0; 1; 0
158; 10; 0; 0; 1; 1; 1; 0; 1; 0
164; 10; 0; 0; 1; 1; 1; 0; 1; 0
176; 10; 0; 0; 1; 1; 1; 0; 1; 0
191; 10; 2; 0; 1; 0; 1; 0; 1; 0
213; 10; 0; 0; 1; 1; 1; 0; 1; 0
231; 20; 0; 0; 1; 1; 1; 0; 1; 0
235; 16; 0; 0; 1; 1; 1; 0; 1; 0
238; 11; 0; 0; 1; 1; 1; 0; 1; 0
244; 40; 20; 0; 0,619390559183928; 0,380609440816072; 1; 0; 1; 0
257; 10; 2; 1; 0,582111610619588; 0,412348985219955; 0; 0; 0,37362349693995; 0,62637650306005
268; 2; 1; 1; 1; 1; 0; 0; 0,333212359042951; 0,666787640957049
277; 100; 0; 0; 1; 1; 1; 0; 1; 0
302; 16; 0; 0; 1; 1; 1; 0; 1; 0
304; 10; 0; 0; 0,999283306037667; 0,999283306037667; 1; 0; 1; 0
321; 10; 0; 0; 1; 1; 1; 0; 1; 0
332; 3; 0; 0; 1; 1; 1; 0; 1; 0
340; 2; 1; 1; 0,994690829286413; 0,994690829286413; 0; 0; 0,167385047325938; 0,832614952674062
362; 3; 0; 0; 1; 1; 1; 0; 1; 0
363; 16; 0; 0; 1; 1; 1; 0; 1; 0
372; 10; 0; 0; 0,999981032950911; 0,999981032950911; 1; 0; 1; 0
379; 68; 0; 0; 1; 1; 1; 0; 1; 0
408; 10; 0; 0; 1; 1; 1; 0; 1; 0
416; 2; 0; 0; 1; 1; 1; 0; 1; 0
428; 16; 0; 0; 1; 1; 1; 0; 1; 0
454; 10; 0; 0; 1; 1; 1; 0; 1; 0
468; 2; 1; 0; 0,51390947529949; 0,48609052470051; 1; 0; 1; 0
477; 2; 0; 0; 1; 1; 1; 0; 1; 0
482; 11; 0; 0; 1; 1; 1; 0; 1; 0
498; 10; 0; 0; 0,995706002498361; 0,995706002498361; 1; 0; 1; 0
509; 2; 0; 1; 1; 0; 0; 0; 0,19881132297054; 0,80118867702946
510; 2; 0; 1; 1; 0; 0; 0; 0,201011461648518; 0,798988538351482
528; 2; 0; 0; 1; 1; 1; 0; 1; 0
541; 2; 0; 0; 1; 1; 1; 0; 1; 0
543; 20; 0; 0; 1; 1; 1; 0; 1; 0
546; 10; 0; 0; 0,998365548836597; 0,998365548836597; 1; 0; 1; 0
565; 2; 0; 0; 1; 1; 1; 0; 1; 0
570; 10; 0; 0; 1; 1; 1; 0; 1; 0
591; 10; 0; 0; 1; 1; 1; 0; 1; 0
615; 2; 0; 0; 1; 1; 1; 0; 1; 0
620; 22; 0; 0; 0,999998970192163; 0,999998970192163; 1; 0; 1; 0
630; 10; 0; 0; 1; 1; 1; 0; 1; 0
666; 2; 0; 0; 1; 1; 1; 0; 1; 0
673; 13; 2; 0; 1; 0; 1; 0; 1; 0
679; 4; 0; 0; 1; 1; 1; 0; 1; 0
692; 10; 0; 0; 1; 1; 1; 0; 1; 0
718; 2; 1; 0; 0,566296259338795; 0,433703740661205; 1; 0; 1; 0
734; 2; 0; 0; 1; 1; 1; 0; 1; 0
743; 2; 0; 1; 1; 0; 0; 0; 0,428193131701094; 0,571806868298906
766; 4; 0; 0; 1; 1; 1; 0; 1; 0
794; 2; 0; 0; 1; 1; 1; 0; 1; 0
814; 10; 0; 0; 1; 1; 1; 0; 1; 0
817; 20; 0; 0; 1; 1; 1; 0; 1; 0
826; 16; 0; 0; 1; 1; 1; 0; 1; 0
827; 10; 0; 0; 1; 1; 1; 0; 1; 0
830; 68; 0; 0; 1; 1; 1; 0; 1; 0
875; 16; 0; 0; 0,99968218305378; 0,99968218305378; 1; 0; 1; 0
881; 22; 0; 0; 0,999941640328049; 0,999941640328049; 1; 0; 1; 0
886; 10; 0; 0; 1; 1; 1; 0; 1; 0
914; 10; 0; 0; 1; 1; 1; 0; 1; 0
919; 16; 0; 0; 1; 1; 1; 0; 1; 0
923; 10; 0; 0; 1; 1; 1; 0; 1; 0
928; 2; 0; 0; 1; 1; 1; 0; 1; 0
935; 3; 1; 0; 0,733941891886171; 0,266058108113829; 1; 0; 1; 0
960; 10; 0; 0; 1; 1; 1; 0; 1; 0
969; 10; 0; 0; 1; 1; 1; 0; 1; 0
987; 10; 0; 0; 0,983940729860009; 0,983940729860009; 1; 0; 1; 0
991; 3; 0; 0; 1; 1; 1; 0; 1; 0
1001; 2; 0; 0; 1; 1; 1; 0; 1; 0
1007; 16; 0; 0; 1; 1; 1; 0; 1; 0
1051; 10; 0; 0; 1; 1; 1; 0; 1; 0
1070; 16; 0; 0; 1; 1; 1; 0; 1; 0
1090; 2; 0; 1; 0,517209231319067; 0,482790768680933; 0; 0; 0,500256624585928; 0,499743375414072
1092; 10; 0; 0; 1; 1; 1; 0; 1; 0
1098; 40; 0; 0; 0,999999992251086; 0,999999992251086; 1; 0; 1; 0
1110; 17; 0; 0; 1; 1; 1; 0; 1; 0
1111; 10; 0; 0; 1; 1; 1; 0; 1; 0
1127; 2; 0; 0; 1; 1; 1; 0; 1; 0
1155; 2; 0; 1; 0,743186373609188; 0,256813626390812; 0; 0; 0,166235758316226; 0,833764241683774
1177; 2; 1; 0; 0,575056225704927; 0,424943774295074; 1; 0; 1; 0
1187; 8; 0; 0; 1; 1; 1; 0; 1; 0
1208; 16; 0; 0; 1; 1; 1; 0; 1; 0
1228; 2; 0; 0; 1; 1; 1; 0; 1; 0
1236; 20; 1; 1; 0,649768340157094; 0,649768340157094; 0; 0; 0,500984484812199; 0,499015515187801
1250; 3; 0; 0; 0,988426576490013; 0,988426576490013; 1; 0; 1; 0
1256; 2; 0; 1; 1; 0; 0; 0; 0,37453846769788; 0,62546153230212
1267; 3; 0; 0; 1; 1; 1; 0; 1; 0
1271; 2; 0; 0; 1; 1; 1; 0; 1; 0
1273; 3; 0; 0; 1; 1; 1; 0; 1; 0
1308; 10; 0; 0; 1; 1; 1; 0; 1; 0
1315; 16; 0; 0; 1; 1; 1; 0; 1; 0
1329; 2; 0; 0; 1; 1; 1; 0; 1; 0
1331; 10; 0; 0; 1; 1; 1; 0; 1; 0
1342; 2; 0; 1; 1; 0; 0; 0; 0,499871699868275; 0,500128300131725
1364; 16; 0; 0; 1; 1; 1; 0; 1; 0
1368; 3; 0; 0; 1; 1; 1; 0; 1; 0
1370; 2; 0; 0; 1; 1; 1; 0; 1; 0
1376; 2; 0; 0; 1; 1; 1; 0; 1; 0
1380; 20; 1; 0; 0,595536545003806; 0,404463454996194; 1; 0; 1; 0
1471; 2; 0; 0; 1; 1; 1; 0; 1; 0
1474; 3; 0; 0; 1; 1; 1; 0; 1; 0
1477; 2; 0; 0; 1; 1; 1; 0; 1; 0
1478; 3; 0; 0; 0,904576418106401; 0,904576418106401; 1; 0; 1; 0
1484; 16; 0; 0; 1; 1; 1; 0; 1; 0
1495; 20; 0; 0; 1; 1; 1; 0; 1; 0
1522; 19; 0; 2; 1; 0; 0; 0; 0,248701256643475; 0,751298743356526
1553; 18; 0; 2; 0,604480731586866; 0,0784831834095508; 0; 0; 0,249836158183357; 0,750163841816643
1576; 2; 0; 0; 1; 1; 1; 0; 1; 0
1587; 10; 0; 0; 0,999964452150875; 0,999964452150875; 1; 0; 1; 0
1588; 2; 0; 0; 1; 1; 1; 0; 1; 0
1629; 4; 0; 0; 1; 1; 1; 0; 1; 0
1675; 13; 2; 0; 1; 0; 1; 0; 1; 0
1687; 2; 0; 0; 1; 1; 1; 0; 1; 0
1689; 10; 0; 0; 1; 1; 1; 0; 1; 0
1691; 22; 0; 0; 0,999984972894972; 0,999984972894972; 1; 0; 1; 0
1692; 2; 0; 0; 0,904433887246601; 0,904433887246601; 1; 0; 1; 0
1702; 10; 0; 0; 1; 1; 1; 0; 1; 0
1703; 10; 0; 2; 1; 0; 0; 1; 0; 1
1716; 22; 0; 0; 0,999941640328049; 0,999941640328049; 1; 0; 1; 0
1726; 10; 0; 0; 1; 1; 1; 0; 1; 0
1729; 2; 0; 0; 1; 1; 1; 0; 1; 0
1753; 10; 0; 2; 0,665492635092648; 0,0698442718903904; 0; 0; 0,14218621912864; 0,85781378087136
1776; 2; 0; 0; 0,972371995348028; 0,972371995348028; 1; 0; 1; 0
1808; 18; 0; 2; 0,678331246818699; 0,0176267310444778; 0; 0; 0,249836158183357; 0,750163841816643
1809; 32; 0; 1; 1; 0; 0; 0; 0,500984484812199; 0,499015515187801
1811; 22; 0; 0; 0,999999048405901; 0,999999048405901; 1; 0; 1; 0
1813; 4; 0; 0; 1; 1; 1; 0; 1; 0
1842; 2; 1; 0; 1; 0; 1; 0; 1; 0
1875; 2; 1; 0; 0,577946245860535; 0,422053754139466; 1; 0; 1; 0
